idx,name,i,r,dong_name,dist
0,광산중,5271,진곡196,우산동, 북구 
1,광산중,5271,진곡196,우산동, 광산구 
2,계수초교,2230,순환01(운천저수지),치평동, 서구 
3,백운광장,3213,진월79,주월1동, 남구 
4,보건대입구,5173,송정29,신창동, 광산구 
5,무양서원입구,5431,첨단92,월계동,월계동
6,해태제과,4137,용전84,양산동, 북구 
7,운암시장,4449,용전84,운암2동, 북구 
8,풍암금호아파트,2255,금남59,풍암동, 서구 
9,응암공원,5442,수완03,첨단1동, 광산구 
10,첨단2동행정복지센터,5445,운림51,월계동,월계동
11,문화전당역,1131,첨단95,서석동,서석동
12,주공아파트,4248,문흥18,용봉동, 북구 
13,북구청,4554,용봉83,중흥3동, 북구 
14,돌고개역(동),2164,문흥39,농성1동, 서구 
15,광주종합버스터미널,2002,매월26,광천동, 서구 
16,무진중,3199,진월79,월산동, 남구 
17,조선대병원,1150,첨단09,학동, 동구 
18,광천동,2179,임곡89,쌍촌동,쌍촌동
19,시청,2233,좌석02,치평동, 서구 
20,산정중입구,5567,송정33,산정동,산정동
21,중앙여고,4451,마을777,운암2동, 북구 
22,무등야구장,4440,임곡89,운암2동, 북구 
23,농성1동주민센터,2036,첨단30,농성1동, 서구 
24,봉선삼익아파트(남),3126,일곡28,봉선2동, 남구 
25,봉선삼익아파트(남),3126,봉선76,봉선2동, 남구 
26,학2마을아파트,1157,운림51,학동, 동구 
27,진월저수지(동),3260,송암68,진월동, 남구 
28,소촌서라아파트,5246,마을720,소촌동,소촌동
29,금호전기,5501,첨단92,오선동,오선동
30,마재대주아파트,2023,순환01(시청행),금호2동, 서구 
31,목련마을6단지,5296,문흥18,운남동, 광산구 
32,대광여고,3209,진월75,주월1동, 남구 
33,광주여대,5273,마을720,우산동, 북구 
34,광주여대,5273,마을720,우산동, 광산구 
35,무양서원입구,5431,첨단22,월계동,월계동
36,월곡일신아파트,5313,첨단20,월곡1동, 광산구 
37,수완중흥S-클래스 1차,5728,마을700,신가동, 광산구 
38,광주종합버스터미널,2001,228(화순전대병원),광천동, 서구 
39,문화예술회관후문,4443,문흥53,운암2동, 북구 
40,운암시장,4449,봉선27,운암2동, 북구 
41,상무금호아파트,2215,순환01(시청행),치평동, 서구 
42,운암중,4458,수완12,운암1동, 북구 
43,원삼각마을삼일아파트,4258,용전184,삼각동, 북구 
44,남광주역,1141,봉선27,학동, 동구 
45,광주여대,5273,금호46,우산동, 북구 
46,광주여대,5273,금호46,우산동, 광산구 
47,대성초교,3145,매월06,서동,서동
48,연제외촌,4668,용전85,연제동,연제동
49,시청,2233,지원45,치평동, 서구 
50,동강대후문,4161,봉선27,두암1동, 북구 
51,무등도서관,4174,지원15,두암2동, 북구 
52,신창동우체국,5192,마을720,신가동, 광산구 
53,광주지방기상청,4447,문흥18,운암2동, 북구 
54,도로교통공단 대신파크,4380,지원15,용봉동, 북구 
55,해태제과,4137,양산60,양산동, 북구 
56,오치한전,4377,마을788,오치2동, 북구 
57,보문고,5236,일곡38,운수동,운수동
58,무등교회,2325,금호36,매월동,매월동
59,동강대,4564,지원15,풍향동, 북구 
60,문흥1동행정복지센터,4230,문흥18,문흥1동, 북구 
