idx,i,dis_5159,dis_5745,dis_5445,dis_4475,dis_4406,dis_2002,dis_2232,dis_1130,dis_3236,time
0,1002,11.96169075,9.32818413,9.165072868,4.98304613,1.571892459,3.661505708,5.979217928,1.779011431,5.218750182,18_20
1,1003,11.89461662,9.564107084,9.557726036,5.50698783,2.094318895,3.726503259,6.012660386,1.235874813,4.729983351,18_20
2,1004,11.92156348,9.536658933,9.500274881,5.420730872,2.007457376,3.726380533,6.020359089,1.333094448,4.822149575,18_20
3,1005,11.75568264,9.157967449,9.046630487,4.955651655,1.544708334,3.46068111,5.777008881,1.726035526,5.099821466,18_20
4,1006,11.74468285,9.13107688,9.013902052,4.921874249,1.511271647,3.443485054,5.760820728,1.75629667,5.121415701,18_20
5,1007,11.76259527,9.657037496,9.775512544,5.850483427,2.446595487,3.723176548,5.967117339,0.837640151,4.344649054,18_20
6,1008,11.76290181,9.666655446,9.789317274,5.867390592,2.463668551,3.729639795,5.971508913,0.821056623,4.330609167,18_20
7,1009,11.95526612,9.237118562,9.033128916,4.823485066,1.413713595,3.627305848,5.948285156,1.932135034,5.348319515,18_20
8,1010,11.96850796,9.247849454,9.040413972,4.824923778,1.415981751,3.640235615,5.961250433,1.936608202,5.356513894,18_20
9,1011,12.23080507,9.694315182,9.53649596,5.295713879,1.899781587,3.978041801,6.287838998,1.634185393,5.164373169,18_20
10,1013,12.58777245,10.15921641,10.00239635,5.692111545,2.327059731,4.396870968,6.69412158,1.580269583,5.149893088,18_20
11,1014,12.58022627,10.57306924,10.61990068,6.472371535,3.072823967,4.63643927,6.861012776,1.081069313,4.533203123,18_20
12,1015,12.06764919,10.10638394,10.24493175,6.267449621,2.85467376,4.138954423,6.350335268,0.674881218,4.237435618,18_20
13,1016,12.07030976,10.09314022,10.2240594,6.239952055,2.827038535,4.130325938,6.345607812,0.697185325,4.261920519,18_20
14,1017,12.39970666,10.6210106,10.7969629,6.786876514,3.374482704,4.618749938,6.785725154,0.812383293,4.123153036,18_20
15,1018,12.42364085,10.64599932,10.81929693,6.802824413,3.390791819,4.644156165,6.811113494,0.835829912,4.133525511,18_20
16,1019,12.51369211,10.04395688,9.877288711,5.572993226,2.203247166,4.30069476,6.602880477,1.610059123,5.17864675,18_20
17,1020,12.87595131,10.3989086,10.17846956,5.770462514,2.455952535,4.672306739,6.974096806,1.79923973,5.357877368,18_20
18,1021,12.85597586,10.37077003,10.14891126,5.742987547,2.42677426,4.647917305,6.950619794,1.798909851,5.360093832,18_20
19,1022,12.81215173,10.5380718,10.42660308,6.11380475,2.757325388,4.709901649,6.985187633,1.50858257,5.030325696,18_20
20,1023,12.7896957,10.5141376,10.40490848,6.097481574,2.738520175,4.685834733,6.96138685,1.495031922,5.021209909,18_20
21,1024,12.83385793,10.62254227,10.53878917,6.244562481,2.882816488,4.768439167,7.033410726,1.457801167,4.951300212,18_20
22,1026,12.87703269,10.58880438,10.46191421,6.126710763,2.780176996,4.769155374,7.046526052,1.568957558,5.083611902,18_20
23,1027,12.8589437,10.57283607,10.44934641,6.119650743,2.770527532,4.751616086,7.028692315,1.554068164,5.071328647,18_20
24,1031,13.27359847,11.05999209,10.92015848,6.51811142,3.211581642,5.221341412,7.486445613,1.811790538,5.195040631,18_20
25,1032,13.30568066,11.02369675,10.84613636,6.410058588,3.12221009,5.215477725,7.491267458,1.890928476,5.308127949,18_20
26,1033,13.28206899,10.71354831,10.39390117,5.851343808,2.637335938,5.051386907,7.360508977,2.168972753,5.70247862,18_20
27,1034,13.3297488,10.98837018,10.7782376,6.313531209,3.043172466,5.208178194,7.49238812,1.961245044,5.404788045,18_20
28,1036,13.2499044,10.9316175,10.74275447,6.305112594,3.016849404,5.138074585,7.419228201,1.877258858,5.327056396,18_20
29,1039,13.25594375,10.84560005,10.60982255,6.134837273,2.86952282,5.09673637,7.389938912,1.971427243,5.46057771,18_20
30,1040,13.23873193,10.82075789,10.58326584,6.109250963,2.842940426,5.075206336,7.369362522,1.966774943,5.461927538,18_20
31,1041,11.8756555,10.19491633,10.48593641,6.671309526,3.270288402,4.161345074,6.292270963,0.287178567,3.7515148,18_20
32,1042,11.60299358,10.0245032,10.3988102,6.711029674,3.334148546,3.972490506,6.064073611,0.092951616,3.50294652,18_20
33,1044,11.86695958,10.13879117,10.41027803,6.581603512,3.17989275,4.112705973,6.257955844,0.296481607,3.817322258,18_20
34,1045,11.78987611,10.27514483,10.64997346,6.922160961,3.531395069,4.220237847,6.295246169,0.332374806,3.477876262,18_20
35,1046,11.74560057,10.27270247,10.67153621,6.972880537,3.586801575,4.214010785,6.273343618,0.363012725,3.40038592,18_20
36,1047,12.23014998,10.61673079,10.8889915,6.989823112,3.577670129,4.580977629,6.697828903,0.675613229,3.81100902,18_20
37,1050,12.02400421,10.42352753,10.72903869,6.896463131,3.490219646,4.381848646,6.490623877,0.469850557,3.69776867,18_20
38,1052,12.78359804,10.91166105,10.99564606,6.845857421,3.450848237,4.942310896,7.136611489,1.201312026,4.451619565,18_20
39,1053,12.78113424,10.91206195,10.99768868,6.84964531,3.45432626,4.941891125,7.135480295,1.198369655,4.446378344,18_20
40,1054,12.92077037,10.91892761,10.92471932,6.689626156,3.314215916,4.99143169,7.216060386,1.374333551,4.704402575,18_20
41,1055,12.91839382,10.94593461,10.96596267,6.742912736,3.364633473,5.009171107,7.227419277,1.35939297,4.662923471,18_20
42,1056,12.7204206,10.64356139,10.63912884,6.426738787,3.041176922,4.734645924,6.974388918,1.249114993,4.702272195,18_20
43,1057,12.72914562,10.67036487,10.67338996,6.465637613,3.079380897,4.755518585,6.991577157,1.242173606,4.681232031,18_20
44,1058,13.25689842,11.17186512,11.0969294,6.749156186,3.418042208,5.282948273,7.52519792,1.720354966,5.010184344,18_20
45,1059,13.26621696,11.17827779,11.10082714,6.749800424,3.42022794,5.29069197,7.533508397,1.730255884,5.019624425,18_20
46,1060,13.21318606,11.25346676,11.24406784,6.95558235,3.602208928,5.321500882,7.538155584,1.63529439,4.817085311,18_20
47,1061,13.21576826,11.24878817,11.23561268,6.943675827,3.591466039,5.3191387,7.537363309,1.639457319,4.828218918,18_20
48,1062,13.25766287,11.29643537,11.28111695,6.981934365,3.63308509,5.366210801,7.583362349,1.678655741,4.846062586,18_20
