,route_id_weekday,18~19_ride_route_id_weekday_mean,18~19_ride_route_id_weekday_sum
0,1187_1014_0,4.0,20
1,1187_1014_1,4.0,24
2,1187_1014_2,4.285714285714286,30
3,1187_1014_3,2.4285714285714284,17
4,1187_1014_4,2.7142857142857144,19
5,1187_1014_5,1.3333333333333333,8
6,1187_1014_6,1.3333333333333333,4
7,1187_1015_0,2.0,14
8,1187_1015_1,2.5,15
9,1187_1015_2,1.8571428571428572,13
10,1187_1015_3,2.857142857142857,20
11,1187_1015_4,2.142857142857143,15
12,1187_1015_5,1.4,7
13,1187_1015_6,1.6666666666666667,5
14,1187_1016_0,2.5714285714285716,18
15,1187_1016_1,2.3333333333333335,14
16,1187_1016_2,2.0,12
17,1187_1016_3,1.8,9
18,1187_1016_4,2.0,10
19,1187_1016_5,2.8,14
20,1187_1016_6,2.3333333333333335,14
21,1187_1024_0,1.25,5
22,1187_1024_1,1.5,9
23,1187_1024_2,2.5,10
24,1187_1024_3,1.0,5
25,1187_1024_4,1.5,6
26,1187_1024_5,3.0,3
27,1187_1024_6,3.0,6
28,1187_1025_0,1.5,3
29,1187_1025_1,1.0,2
30,1187_1025_2,1.0,3
31,1187_1025_3,1.0,3
32,1187_1025_4,1.0,1
33,1187_1025_5,1.0,1
34,1187_1025_6,1.3333333333333333,4
35,1187_1034_0,1.6666666666666667,10
36,1187_1034_1,1.8,9
37,1187_1034_2,2.0,10
38,1187_1034_3,1.6,8
39,1187_1034_4,2.1666666666666665,13
40,1187_1034_5,2.1666666666666665,13
41,1187_1034_6,1.0,4
42,1187_1036_0,1.0,1
43,1187_1036_2,1.0,1
44,1187_1036_3,1.0,1
45,1187_1036_4,1.0,2
46,1187_1036_5,1.0,1
47,1187_1037_1,2.0,2
48,1187_1037_3,1.0,1
49,1187_1038_0,1.0,4
50,1187_1038_1,1.0,2
51,1187_1038_2,1.0,5
52,1187_1038_3,1.0,4
53,1187_1038_4,1.7142857142857142,12
54,1187_1038_5,1.0,3
55,1187_1038_6,1.0,1
56,1187_1041_0,2.8,14
57,1187_1041_1,2.2857142857142856,16
58,1187_1041_2,2.2857142857142856,16
59,1187_1041_3,2.6666666666666665,16
60,1187_1041_4,2.8333333333333335,17
61,1187_1041_5,1.5,6
62,1187_1041_6,1.0,2
63,1187_1042_0,1.5,9
64,1187_1042_1,2.4285714285714284,17
65,1187_1042_2,2.142857142857143,15
66,1187_1042_3,2.0,14
67,1187_1042_4,3.3333333333333335,20
68,1187_1042_5,2.2,11
69,1187_1042_6,1.75,7
70,1187_1044_0,4.2,21
71,1187_1044_1,1.7142857142857142,12
72,1187_1044_2,1.8571428571428572,13
73,1187_1044_3,1.6,8
74,1187_1044_4,1.75,7
75,1187_1044_5,1.8333333333333333,11
76,1187_1044_6,1.0,1
77,1187_1051_0,1.0,2
78,1187_1051_1,1.0,2
79,1187_1051_2,1.0,1
80,1187_1051_3,2.0,4
81,1187_1051_4,1.0,1
82,1187_1051_5,6.0,12
83,1187_1051_6,4.333333333333333,13
84,1187_1056_0,1.8,9
85,1187_1056_1,1.6,8
86,1187_1056_2,2.6666666666666665,16
87,1187_1056_3,1.5,6
88,1187_1056_4,1.4,7
89,1187_1056_5,1.0,4
90,1187_1056_6,1.5,3
