,route_weekday,18~19_ride_route_weekday_mean,18~19_ride_route_weekday_sum
0,1187_0,2.13,639
1,1187_1,2.0165016501650164,611
2,1187_2,2.3036303630363038,698
3,1187_3,2.089655172413793,606
4,1187_4,2.3442622950819674,715
5,1187_5,2.1810344827586206,506
6,1187_6,1.9493670886075949,308
7,228(화순전대병원)_0,3.6623376623376624,1410
8,228(화순전대병원)_1,3.2005208333333335,1229
9,228(화순전대병원)_2,3.5481481481481483,1437
10,228(화순전대병원)_3,3.7382716049382716,1514
11,228(화순전대병원)_4,3.4335664335664338,1473
12,228(화순전대병원)_5,3.457725947521866,1186
13,228(화순전대병원)_6,2.780590717299578,659
14,419_0,2.9634146341463414,729
15,419_1,2.707865168539326,723
16,419_2,3.224066390041494,777
17,419_3,2.8983739837398375,713
18,419_4,2.934306569343066,804
19,419_5,2.128205128205128,415
20,419_6,2.102189781021898,288
21,518_0,2.850785340314136,1089
22,518_1,2.8705583756345177,1131
23,518_2,2.8439153439153437,1075
24,518_3,2.98974358974359,1166
25,518_4,3.4271844660194173,1412
26,518_5,2.095744680851064,591
27,518_6,1.990909090909091,438
28,금남55_0,3.649462365591398,1697
29,금남55_1,4.080338266384778,1930
30,금남55_2,3.8364389233954452,1853
31,금남55_3,3.7257019438444923,1725
32,금남55_4,5.154738878143133,2665
33,금남55_5,2.8936781609195403,1007
34,금남55_6,2.463235294117647,670
35,금남57_0,6.651709401709402,3113
36,금남57_1,7.3076923076923075,3420
37,금남57_2,6.649895178197065,3172
38,금남57_3,7.049356223175966,3285
39,금남57_4,7.369294605809128,3552
40,금남57_5,4.726582278481013,1867
41,금남57_6,4.061302681992337,1060
42,금남58_0,5.396,1349
43,금남58_1,6.28,1570
44,금남58_2,5.970833333333333,1433
45,금남58_3,6.16600790513834,1560
46,금남58_4,6.444444444444445,1624
47,금남58_5,4.5625,1022
48,금남58_6,3.812121212121212,629
49,금남59_0,4.232179226069246,2078
50,금남59_1,4.584199584199585,2205
51,금남59_2,4.3537832310838445,2129
52,금남59_3,4.79002079002079,2304
53,금남59_4,4.8356435643564355,2442
54,금남59_5,3.613861386138614,1460
55,금남59_6,2.982394366197183,847
56,금호36_0,7.609929078014185,4292
57,금호36_1,7.73015873015873,4383
58,금호36_2,8.101549053356282,4707
59,금호36_3,7.847368421052631,4473
60,금호36_4,8.579216354344123,5036
61,금호36_5,6.827522935779816,3721
62,금호36_6,5.928735632183908,2579
63,금호46_0,6.498973305954825,3165
64,금호46_1,7.765503875968992,4007
65,금호46_2,6.908045977011494,3606
66,금호46_3,7.359528487229863,3746
67,금호46_4,7.193359375,3683
68,금호46_5,5.4144736842105265,2469
69,금호46_6,4.677333333333333,1754
70,대촌170_0,1.6864406779661016,199
71,대촌170_1,1.8435374149659864,271
72,대촌170_2,1.702290076335878,223
73,대촌170_3,1.7946428571428572,201
74,대촌170_4,1.8397435897435896,287
75,대촌170_5,1.6986301369863013,248
76,대촌170_6,1.5376344086021505,143
77,대촌270_0,1.2222222222222223,44
78,대촌270_1,1.3157894736842106,50
79,대촌270_2,1.2195121951219512,50
80,대촌270_3,1.21875,39
81,대촌270_4,1.3902439024390243,57
82,대촌270_5,1.8,27
83,대촌270_6,1.2222222222222223,11
84,대촌69_0,1.4363636363636363,79
85,대촌69_1,1.8857142857142857,198
86,대촌69_2,1.6851851851851851,91
