idx,target,con
0,2002,1
1,1130,0.596560729
2,4475,0.560701288
3,1018,0.559632084
4,2001,0.533073343
5,1123,0.498968493
6,3209,0.488756228
7,3236,0.486021535
8,1017,0.468345408
9,1147,0.464411287
10,3243,0.457214725
11,4171,0.45164253
12,1134,0.446563813
13,5745,0.435241222
14,1122,0.431841703
15,1136,0.421266184
16,4406,0.412979856
17,1142,0.370040369
18,5445,0.366476358
19,1148,0.366414673
20,4467,0.365934902
21,5159,0.364817721
22,5265,0.362651899
23,4198,0.360602592
24,4455,0.359108449
25,4435,0.348608322
26,2003,0.34004784
27,4481,0.334249467
28,4150,0.328588172
29,1112,0.32281036
30,2032,0.319883758
31,4434,0.312440457
32,5111,0.308136227
33,4368,0.304702439
34,3241,0.294188605
35,5314,0.287190805
36,5273,0.282783767
37,4164,0.281652879
38,3207,0.270364557
39,4407,0.269398162
40,1141,0.267643571
41,5306,0.266217967
42,1047,0.26407956
43,4237,0.262866425
44,2008,0.259418929
45,4417,0.25490223
46,4380,0.254758298
47,2009,0.254518413
48,2232,0.254319651
49,4197,0.251865966
50,4152,0.251016086
51,4175,0.242160888
52,4411,0.241756509
53,4441,0.239549564
54,5305,0.238075982
55,5303,0.237390595
56,5428,0.237322056
57,2276,0.230735489
58,2167,0.23045448
59,4554,0.227192039
60,3208,0.225896657
61,1127,0.221695236
62,1163,0.220235362
63,5294,0.218658972
64,4244,0.217576061
65,5313,0.216842697
66,2031,0.214128565
67,1160,0.213518571
68,3235,0.212901722
69,5310,0.212654983
70,5446,0.210667361
71,3119,0.210516576
72,4249,0.209899728
73,3228,0.207336381
74,2214,0.206123246
75,4377,0.205938192
76,4457,0.205362467
77,4204,0.202065756
78,4148,0.199913641
79,2263,0.199358478
80,4030,0.198700507
81,2089,0.198179612
82,3091,0.197727257
83,1151,0.196637492
84,4348,0.196452438
85,5194,0.193100896
86,4432,0.190750019
87,4251,0.19046901
88,5288,0.189639692
89,5186,0.189447784
90,5711,0.189420368
91,1008,0.189290145
92,5742,0.189063967
93,5316,0.188865205
94,2239,0.1874396
95,2013,0.186994099
96,2305,0.186452643
