idx,target,con
0,진월07,1
1,수완03,0.956563779
2,문흥18,0.808531007
3,첨단09,0.771918672
4,운림54,0.764652497
5,봉선27,0.763478804
6,일곡28,0.723400915
7,봉선37,0.719830054
8,진월17,0.637459002
9,송정98,0.597208793
10,금호36,0.59388301
11,송정29,0.590965052
12,매월26,0.58780393
13,운림51,0.558915377
14,지원45,0.542296035
15,매월06,0.48788875
16,첨단30,0.448130611
17,수완12,0.447238375
18,첨단95,0.433720799
19,마을720,0.421355855
20,금호46,0.401696015
21,마을700,0.399484571
22,일곡38,0.377814327
23,송암72,0.364645221
24,문흥39,0.352981047
25,매월16,0.350310081
26,금남57,0.34324686
27,첨단20,0.328406247
28,좌석02,0.326589225
29,일곡10,0.323083462
30,순환01(운천저수지),0.315972375
31,송암47,0.314004094
32,순환01(시청행),0.307383162
33,송암73,0.295351371
34,송정19,0.289877327
35,지원25,0.289375683
36,첨단23,0.28395908
37,송암74,0.275025226
38,송암68,0.271236092
39,운림50,0.268884877
40,금남59,0.259041554
41,지원15,0.251051633
42,송정33,0.238577553
43,운림35,0.214266978
44,금남55,0.202696622
45,진월75,0.198264159
46,첨단22,0.194478855
47,마을777,0.185221422
48,마을760,0.180122654
49,진곡196,0.179913955
50,금남58,0.177032375
51,수완49,0.156784732
52,마을788,0.153152601
53,용봉83,0.147353063
54,송암31,0.146460827
55,선운14,0.134676028
56,선운101,0.13146704
57,첨단40,0.127635784
58,228(화순전대병원),0.127488354
59,518,0.120999535
60,지원56,0.106185727
61,상무64,0.10258806
62,문흥53,0.10099314
63,양산60,0.100866771
64,매월61(칠석),0.098731914
65,진월79,0.095835017
66,419,0.092233521
67,마을715(대촌),0.091239807
68,매월61(세하),0.085109031
69,문흥80,0.08362899
70,1187,0.07383162
71,진월77,0.069736139
72,대촌70,0.063754708
73,용전85,0.060549549
74,용전86,0.053044039
75,용전84,0.052887036
76,지원152(도웅리),0.051673135
77,지원152(능주역),0.051102563
78,석곡87,0.049946102
79,상무63,0.047380443
80,두암81(무등파크),0.046478633
81,두암81(각화초교),0.040792061
82,228(구151화순사평),0.04045125
83,대촌170,0.037144613
84,용전184,0.035524802
85,임곡90,0.034619162
86,마을777(우치공원),0.033657998
87,봉선76,0.030927677
88,마을799,0.029945451
89,상무62(상무역행),0.029298292
90,상무62,0.026836026
91,충효187,0.026029949
92,진월177,0.025578087
93,첨단94,0.025503415
94,임곡89,0.022037861
95,유덕65,0.020058091
96,송정296,0.019652181
97,진월78,0.018103212
98,지원52,0.016843359
99,대촌69,0.015788375
100,첨단92,0.015012934
101,송정97,0.00991608
102,송정96,0.009759077
103,마을763,0.009209566
104,마을701,0.00883812
105,첨단193,0.008698349
106,첨단192,0.007455728
107,송정197,0.007126405
108,대촌270,0.006023554
109,송정100,0.005891442
110,1187-1,0.005868466
111,두암181,0.005667426
112,송정99,0.005443409
113,송정93,0.005412774
114,임곡91,0.004486074
115,임곡290,0.004254398
116,대촌71,0.004219934
117,마을720-1,0.001813193
118,충효188,0.000308262
119,선운101(송산유원),0.000289115
120,노선없음,0
