idx,target,m,s
0,4263,1.756097561,432
1,4264,1.357142857,38
2,4334,2.942474202,24808
3,4529,1.825874928,6365
4,2001,6.665352644,77778
5,2002,7.286820157,145904
6,2179,1.475671141,1759
7,1122,5.686642599,63008
8,1123,5.832091645,72802
9,2156,1.335227273,470
10,2184,1.431952663,242
11,2185,1.574701195,1581
12,1111,3.531327992,26884
13,1112,5.479930192,47100
14,1113,3.284264685,22980
15,1114,3.142901961,20036
16,2007,1.49739922,2303
17,2187,3.728524828,10287
18,2055,1.549311927,2702
19,1014,1.954746137,3542
20,1051,1.438177874,1326
21,2040,1.353333333,203
22,2041,2.046554935,1099
23,4515,1.67000771,2166
24,4530,2.858390805,6217
25,2348,1.366233766,526
26,2350,2.009633911,2086
27,1015,1.976224784,2743
28,1016,2.206940874,3434
29,1041,5.463068956,20044
30,1044,2.938814994,12152
31,1119,3.473216928,11736
32,4586,1.281021898,351
33,4304,3.987341772,315
34,4305,6.130718954,1876
35,1042,3.620312888,14579
36,1130,7.190499793,87041
37,2182,1.404181185,403
38,2183,2.613674263,4702
39,1056,2.665890118,13732
40,1057,3.006240545,15897
41,4337,1.445714286,253
42,4582,1.483957219,555
43,1037,1.3640553,296
44,1038,1.394126739,902
45,1024,1.807317073,741
46,1025,1.864754098,910
47,2194,1.250285714,1094
48,2050,2.955987718,14440
49,4495,1.761437908,539
50,4585,1.342767296,427
51,2274,6.06484375,23289
52,2276,5.002377415,33666
53,4342,1.959343584,13253
54,4343,2.202163426,15065
55,2195,1.584729981,851
56,2199,1.184931507,346
57,2200,1,20
58,1034,2.069405099,1461
59,1036,2.017957351,1798
60,4195,1.622516556,245
61,4536,1.68125,2152
62,4532,1.789520958,5977
63,4533,1.800509338,6363
64,2201,1.226347305,1024
65,4321,1.656903766,396
66,2203,1.545248869,2732
67,4329,1.404040404,278
68,4331,2.007451565,1347
69,2283,2.131890122,11719
70,2284,2.788328912,15768
71,4267,1.945454545,214
72,1137,3.186571271,5790
73,1005,2.496756256,10776
74,1006,2.721566524,10146
75,6340,1.751968504,890
76,1003,3.500463564,18878
77,1004,4.252669039,25095
78,1093,2.517734724,8447
79,2181,1.719633308,2251
80,1139,1.790088106,8127
81,6275,1.2,54
82,1083,2.016277005,6813
83,1007,3.570230608,20436
84,1008,4.332392157,27619
85,1107,1.40234375,1795
86,1108,3.256920183,12119
87,4147,3.221176471,6845
88,4148,8.97231621,29169
89,6319,1.073170732,44
90,4144,2.408311186,9968
91,4439,1.906498674,2875
92,4440,2.480597015,3324
93,6277,1.373333333,103
94,1156,3.463005929,13433
95,1086,1.801346801,1070
96,4340,1.910579345,3034
97,6324,1.357142857,19
98,4656,3.228956229,2877
99,1079,1.194312796,252
100,1080,2.520570488,4595
101,6367,1.481651376,323
102,6401,1.317919075,456
103,6402,2.053471668,2573
104,1146,2.952054795,24998
105,1147,7.230818483,67760
106,1089,1.130597015,303
107,1090,2.457790516,9433
108,1098,1.43781344,2867
109,1099,3.157269338,13551
110,6326,1.052631579,20
111,6329,1.197530864,97
112,6330,1,18
113,1151,3.35371128,28691
114,6393,1.244655582,524
115,6394,4.711528695,9277
116,6331,1.153846154,30
117,6381,1.036363636,57
118,6379,1.55,682
119,6383,3.279947917,2519
120,6384,1.164383562,85
121,6385,3.192496925,5191
122,6386,2.271097046,2153
123,6428,1.481770833,569
124,6395,5.169950739,4198
125,4336,1.849789916,1761
126,1094,1.216640502,775
127,2180,1.561866126,3080
128,2003,5.586016663,49615
129,2004,2.664364364,26617
130,1076,1.412462908,476
131,1075,1.162790698,150
132,1082,1.170212766,220
133,4145,1.64995958,4082
134,1131,1.903708744,5595
135,1155,1.742375081,5370
136,1087,1.633333333,98
137,1095,1.926333616,2275
138,1096,2.439886846,8625
139,4341,1.840459477,2884
140,1127,4.539292731,32347
141,1045,3.769166943,22713
142,1046,1.618171985,5984
143,4450,1.7436407,4387
144,4509,1.754002134,3287
145,6620,1.260869565,464
146,1149,3.164227062,26589
147,1150,1.394459103,4228
148,1175,1.4921875,382
149,4354,1.590291262,1638
150,4355,1.809800664,2179
151,6618,1.55505618,692
152,6397,1.445454545,318
153,1002,3.784169125,7697
154,4250,3.267944192,19441
155,4251,4.147291449,27791
156,4197,4.298631419,36749
157,4198,5.920999325,52614
158,4254,3.431212078,24317
159,4379,2.401696851,14720
160,4380,4.782066126,37171
161,4542,1.474418605,634
162,4543,1.188191882,322
163,4544,1.325870647,1066
164,4545,1.425790754,1172
165,4381,4.686923077,6093
166,4382,4.830420231,12989
167,4469,1.475318471,1853
168,4252,2.793573227,18865
169,4255,3.002893617,17642
170,4384,4.226620769,7367
171,1050,2.926470588,14129
172,1010,2.341592108,10207
173,4421,2.463857827,12339
174,4423,1.112676056,158
175,4386,1.571859676,4167
176,4375,1.674619289,3299
177,4376,4.126818623,17019
178,4392,2.210227273,2723
179,4393,3.04676259,5082
180,4394,2.173174873,1280
181,4389,2.371405094,2886
182,4390,3.84610951,6673
183,4400,4.463114754,15246
184,4472,4.341549296,4932
185,4401,4.142629663,18211
186,4403,1.799009901,1817
187,4405,1.20610687,158
188,4579,2.275735294,619
189,4485,2.268106734,1785
190,4486,1.2,6
191,4410,2.727167852,14184
192,4411,6.412288675,35274
193,4408,4.040629761,15912
194,4409,3.366095963,15925
195,1128,2.947485807,14537
196,1178,4.996368918,13760
197,1177,8.580010096,16997
198,1181,5.06302521,2410
199,4546,2.194444444,1185
200,4424,1.135746606,251
201,4262,2.952021726,9783
202,2062,2.063644831,6647
203,2063,2.245825603,7263
204,2209,2.113564669,6030
205,4271,1.9875,477
206,2176,2.225876513,7174
207,4170,2.942951713,15115
208,4171,8.315078864,65897
209,4512,3.102173913,17124
210,3007,3.368341232,17768
211,4217,2.66376969,4904
212,4019,1.234636872,221
213,4226,1.176895307,326
214,4220,1.993597206,3425
215,4164,5.67767339,41095
216,4165,3.987558087,26601
217,4416,3.317077344,19385
218,4417,5.303293883,37192
219,2064,2.732078664,12920
220,2065,3.287813177,21259
221,4174,3.62767875,18113
222,4175,4.676770351,35333
223,4239,2.980289369,14213
224,4653,1.102702703,204
225,4284,1.567346939,384
226,4553,3.929591837,26957
227,4554,4.187065808,33149
228,4493,2.00039604,5051
229,4521,2.3288854,5934
230,2217,4.157256778,26066
231,2223,3.340956341,4821
232,2068,2.432432432,8550
233,2069,2.907549121,14058
234,4274,1.644314869,564
235,4049,1.358585859,269
236,4051,1.375,110
237,2232,3.419684822,37107
238,4301,2.120906801,842
239,4081,2.598739496,1237
240,4596,2.190751445,758
241,4082,1.529411765,26
242,4083,1.182795699,110
243,4303,1.405063291,1110
244,2236,3.558343789,11344
245,4500,1.192307692,186
246,4501,1.142105263,217
247,4346,3.598360656,22389
248,4347,3.027771349,13083
249,4507,1.26,378
250,1129,4.60643797,19605
251,4316,1.683060109,616
252,4556,2.292877609,11203
253,4557,2.389884285,12805
254,2237,3.230820726,24131
255,2241,1.757545016,6930
256,2008,5.364370748,37851
257,2051,3.041467305,13349
258,4173,3.86856989,14364
259,1011,2.699836868,1655
260,3265,1.467605634,521
261,4216,3.414015304,8477
262,3172,4.806146572,4066
263,3173,2.606365159,1556
264,3206,2.902695595,13245
265,3280,3.100120385,15451
266,4159,2.954851752,8770
267,4160,4.600291404,18944
268,4161,2.300840336,5476
269,4162,2.532915361,5656
270,1013,2.090909091,1265
271,1019,2.846785226,2081
272,3120,2.224076884,4397
273,3121,3.318423384,7493
274,4178,3.199952505,13475
275,3091,3.676564292,28850
276,3093,2.692917412,21064
277,3122,2.352361028,7871
278,3214,3.090119645,16013
279,4550,1.561459159,1969
280,3238,2.918407311,4471
281,3139,1.344086022,375
282,1022,1.53699284,644
283,1023,1.506738544,559
284,1017,7.187000421,68334
285,1018,8.580601093,81653
286,3096,1.607638889,463
287,3097,2.367676768,1172
288,3098,2.36744186,1527
289,3099,2.957943925,1266
290,3263,1.155124654,417
291,3278,2.263490241,7886
292,3259,5.392170819,15152
293,3100,2.029821074,1021
294,3101,2.111913357,585
295,3281,1.49122807,340
296,3282,2.19133574,4249
297,4181,1.145363409,457
298,4182,3.067363888,9972
299,1145,1.408376963,269
300,3174,1.41509434,300
301,4348,4.646458097,28664
302,4349,3.773588096,22317
303,3267,1.917488494,5833
304,3217,3.19567953,15237
305,3218,2.942003515,10044
306,1170,1.25,175
307,4549,1.788881535,2703
308,3253,1.638596491,2335
309,3260,1.509954058,986
310,3261,2.151429911,4589
311,4166,3.488446727,10870
312,4167,3.971473851,15036
313,1135,4.276291513,9271
314,1136,10.06467988,61465
315,3175,1.817658349,947
316,3176,1.730673317,694
317,4551,3.577456811,12632
318,4552,4.904255319,17979
319,4077,1.702464789,3868
320,4078,2.652053628,12462
321,4001,3.653252121,16794
322,4002,2.036351166,2969
323,4006,1.330263158,1011
324,4061,2.789965986,9843
325,4062,2.437351443,7178
326,4253,1.983230664,5795
327,4030,4.621712099,28992
328,4031,2.259615385,9635
329,4463,1.22741433,394
330,4466,8.626000942,18313
331,4046,1.258865248,355
332,1049,1.392727273,766
333,4387,1.401092896,1282
334,4388,1.466827503,2432
335,4057,2.026106697,3570
336,4058,4.395573346,18668
337,4573,3.880866426,16125
338,4574,3.04899704,9272
339,4067,2.86695279,2004
340,4068,5.841606669,15416
341,4079,3.982009724,24569
342,4080,1.957710012,6805
343,4034,1.774509804,1991
344,4465,1.25436409,503
345,4353,1.947938144,3779
346,4413,2.425233645,5709
347,4089,1.417372881,669
348,4090,1.185897436,185
349,4399,4.963051659,14507
350,4094,4.345367847,6379
351,4095,2.627296588,1001
352,4402,6.432768092,26934
353,4352,3.402349952,10714
354,4412,4.434967194,11491
355,1179,1.48,37
356,4109,3.348008386,6388
357,4111,1.231759657,287
358,4112,1.608695652,2109
359,4118,2.283018868,3025
360,4488,5.417308092,26041
361,4114,1.484615385,1351
362,4434,3.810666221,45587
363,4436,3.322174447,10817
364,4333,2.794941528,10277
365,4518,1.584677419,786
366,4519,1.331018519,575
367,1115,2.765868597,9935
368,1116,3.797018349,16555
369,1117,2.687113857,12178
370,1118,3.742760516,17707
371,4155,2.072205737,4190
372,4156,1.035714286,58
373,4441,3.700974163,34952
374,4442,1.722188076,2802
375,4427,5.455659537,24485
376,4428,5.144187103,22655
377,4539,3.011494253,12576
378,4432,3.308213479,27832
379,4455,5.253258472,52396
380,4431,2.751672997,15214
381,4448,2.855454422,21019
382,4433,3.911639381,17442
383,4460,3.521204819,14613
384,4527,3.2275339,14043
385,4534,3.473813277,19832
386,4451,4.314463545,14557
387,2092,2.081621321,3749
388,1109,1.360128617,423
389,3137,1.604105572,547
390,1141,3.990088893,39051
391,1142,7.34971413,53991
392,3293,1.466907341,1219
393,2054,2.59597653,6194
394,2100,3.215247845,11935
395,3256,1,3
396,2163,2.293097468,13222
397,2042,2.218051968,14597
398,2246,3.344609394,13743
399,3108,4.018787361,4706
400,3109,2.017654477,1600
401,3110,3.175577157,5227
402,3111,2.260220636,3483
403,2058,1.767692308,8043
404,2437,1.202531646,190
405,2438,1.196428571,134
406,3274,1.742606791,1591
407,3275,4.347174658,10155
408,2247,2.067592034,3426
409,2248,2.469242902,6262
410,4524,1.225621415,641
411,4525,1.516956162,1834
412,2167,4.277989822,33625
413,2168,4.989822919,24515
414,3080,3.775748273,24599
415,3081,3.03455929,19142
416,3078,3.533418205,22204
417,3079,3.015433572,18952
418,2290,2.721057047,12974
419,2303,3.832319135,22672
420,2304,1.935553169,3604
421,2305,4.06651719,27205
422,2440,1.162162162,43
423,2441,1.661891117,580
424,2442,1.550561798,414
425,2297,2.994225722,11408
426,2298,3.089208997,12224
427,3112,1.562115621,1270
428,3279,3.317178503,6913
429,3252,1.527827648,851
430,2173,1.576054956,1606
431,4528,2.142605634,1217
432,2255,1.917948718,4114
433,2256,2.676399027,8800
434,2258,3.526719278,15641
435,2259,4.32693187,18926
436,2261,3.38915547,21189
437,2262,2.3556231,8525
438,2263,5.527936146,29088
439,2264,2.380675999,6973
440,2265,2.298886414,5161
441,2266,3.138026608,11322
442,2267,5.228700565,23137
443,2268,3.020693362,11240
444,2269,4.395965283,18740
445,2315,2.106149341,2877
446,2316,5.471624266,11184
447,2447,1.737762238,994
448,2448,3.915422886,3148
449,2299,2.221146086,8256
450,2300,4.020717437,20960
451,2155,2.773659085,9877
452,2013,3.687525341,27284
453,2014,2.195978836,10376
454,2082,1.791376912,2576
455,2083,1.619300912,2131
456,4222,1.106796117,228
457,4510,1.862671233,5439
458,4511,1.541923259,3255
