,id,route,dong_name,dist
0,5271,진곡196,우산동, 북구 
1,5271,진곡196,우산동, 광산구 
2,2230,순환01(운천저수지),치평동, 서구 
3,3213,진월79,주월1동, 남구 
4,5173,송정29,신창동, 광산구 
5,4137,용전84,양산동, 북구 
6,4449,용전84,운암2동, 북구 
7,2255,금남59,풍암동, 서구 
8,5442,수완03,첨단1동, 광산구 
9,4248,문흥18,용봉동, 북구 
10,4554,용봉83,중흥3동, 북구 
11,2164,문흥39,농성1동, 서구 
12,2002,매월26,광천동, 서구 
13,3199,진월79,월산동, 남구 
14,1150,첨단09,학동, 동구 
15,2233,좌석02,치평동, 서구 
16,4451,마을777,운암2동, 북구 
17,4440,임곡89,운암2동, 북구 
18,2036,첨단30,농성1동, 서구 
19,3126,일곡28,봉선2동, 남구 
20,3126,봉선76,봉선2동, 남구 
21,1157,운림51,학동, 동구 
22,3260,송암68,진월동, 남구 
23,2023,순환01(시청행),금호2동, 서구 
24,5296,문흥18,운남동, 광산구 
25,3209,진월75,주월1동, 남구 
26,5273,마을720,우산동, 북구 
27,5273,마을720,우산동, 광산구 
28,5313,첨단20,월곡1동, 광산구 
29,5728,마을700,신가동, 광산구 
30,2001,228(화순전대병원),광천동, 서구 
31,4443,문흥53,운암2동, 북구 
32,4449,봉선27,운암2동, 북구 
33,2215,순환01(시청행),치평동, 서구 
34,4458,수완12,운암1동, 북구 
35,4258,용전184,삼각동, 북구 
36,1141,봉선27,학동, 동구 
37,5273,금호46,우산동, 북구 
38,5273,금호46,우산동, 광산구 
39,2233,지원45,치평동, 서구 
40,4161,봉선27,두암1동, 북구 
41,4174,지원15,두암2동, 북구 
42,5192,마을720,신가동, 광산구 
43,4447,문흥18,운암2동, 북구 
44,4380,지원15,용봉동, 북구 
45,4137,양산60,양산동, 북구 
46,4377,마을788,오치2동, 북구 
47,4564,지원15,풍향동, 북구 
48,4230,문흥18,문흥1동, 북구 
49,2013,금호46,금호1동, 서구 
50,4449,수완49,운암2동, 북구 
51,4573,용전85,양산동, 북구 
52,4418,지원15,우산동, 북구 
53,4418,지원15,우산동, 광산구 
54,2311,매월16,화정4동, 서구 
55,4348,송암47,중흥2동, 북구 
56,5318,봉선37,월곡2동, 광산구 
57,2305,송암73,화정3동, 서구 
58,5420,첨단23,첨단1동, 광산구 
59,2217,상무64,치평동, 서구 
60,4353,금남57,신안동, 북구 
61,4581,용전86,일곡동, 북구 
62,4255,매월26,삼각동, 북구 
63,2001,매월16,광천동, 서구 
64,4402,금남57,용봉동, 북구 
65,2304,송암74,화정3동, 서구 
66,2252,순환01(운천저수지),풍암동, 서구 
67,4252,첨단30,삼각동, 북구 
68,4566,충효187,풍향동, 북구 
69,3211,지원45,주월2동, 남구 
70,4340,금남58,신안동, 북구 
71,4152,매월16,동림동, 북구 
72,5311,일곡10,월곡1동, 광산구 
73,5399,마을700,비아동, 광산구 
74,4175,석곡87,두암2동, 북구 
75,4379,용봉83,용봉동, 북구 
76,2274,금호36,농성1동, 서구 
77,1017,일곡28,동명동, 동구 
78,3225,지원45,주월2동, 남구 
79,4455,문흥18,운암1동, 북구 
80,3120,송암68,봉선2동, 남구 
81,3213,첨단95,주월1동, 남구 
82,4342,수완49,신안동, 북구 
83,2233,송암68,치평동, 서구 
84,4078,양산60,양산동, 북구 
85,4181,송암74,두암2동, 북구 
86,3207,수완03,주월1동, 남구 
87,2076,송암72,상무2동, 서구 
88,3189,마을715(대촌),백운2동, 남구 
89,2217,518,치평동, 서구 
90,4460,수완49,운암1동, 북구 
91,4563,봉선27,풍향동, 북구 
92,4241,문흥18,문흥1동, 북구 
93,1142,첨단95,학동, 동구 
94,3209,진월79,주월1동, 남구 
95,1691,마을715(대촌),산수1동, 동구 
96,4368,마을788,오치2동, 북구 
97,4374,첨단23,오치2동, 북구 
98,4539,첨단30,중흥1동, 북구 
99,4161,일곡28,두암1동, 북구 
100,1040,운림35,산수2동, 동구 
101,4250,첨단23,삼각동, 북구 
102,3080,봉선27,방림1동, 남구 
103,2243,송암47,풍암동, 서구 
104,4557,일곡38,중흥3동, 북구 
105,2075,송정19,상무2동, 서구 
106,2297,매월61(세하),화정2동, 서구 
107,5150,송암73,송정1동, 광산구 
108,2215,운림50,치평동, 서구 
109,1144,봉선76,학동, 동구 
110,5272,진곡196,우산동, 북구 
111,5272,진곡196,우산동, 광산구 
112,4202,송정29,매곡동, 북구 
113,1010,송정19,계림1동, 동구 
114,2256,금남59,풍암동, 서구 
115,2168,봉선37,양동, 서구 
116,5198,봉선27,신창동, 광산구 
117,2065,상무63,상무1동, 서구 
118,4413,매월26,용봉동, 북구 
119,4538,송정19,중흥1동, 북구 
120,4154,문흥39,동천동, 서구 
121,4160,일곡28,두암1동, 북구 
122,4431,송암72,운암3동, 북구 
123,3190,수완12,월산동, 남구 
124,4458,송정29,운암1동, 북구 
125,4342,용봉83,신안동, 북구 
126,4466,금남57,일곡동, 북구 
127,5151,송암73,송정1동, 광산구 
128,4352,상무64,신안동, 북구 
129,3253,금남55,진월동, 남구 
130,4010,송정33,양산동, 북구 
131,2205,금호36,상무1동, 서구 
132,2238,선운14,치평동, 서구 
133,3195,대촌170,백운1동, 남구 
134,5095,첨단192,비아동, 광산구 
135,4428,문흥18,운암1동, 북구 
136,4080,첨단30,양산동, 북구 
137,1005,송정98,계림1동, 동구 
138,5658,마을701,우산동, 북구 
139,5658,마을701,우산동, 광산구 
140,4448,마을777,운암2동, 북구 
141,5289,마을720,운남동, 광산구 
142,5305,송정29,운남동, 광산구 
143,3129,봉선37,봉선2동, 남구 
144,4151,수완12,동림동, 북구 
145,2019,금호36,금호1동, 서구 
146,4617,일곡10,신용동, 북구 
147,2003,송암47,광천동, 서구 
148,3108,금남59,봉선1동, 남구 
149,1157,첨단09,학동, 동구 
150,4152,송정29,동림동, 북구 
151,5010,선운101,도산동, 광산구 
152,2064,금호46,상무1동, 서구 
153,2276,수완12,화정1동, 서구 
154,3236,송암73,진월동, 남구 
155,5310,진곡196,우산동, 북구 
156,5310,진곡196,우산동, 광산구 
157,5217,송정98,송정2동, 광산구 
158,5442,송정33,첨단1동, 광산구 
159,3263,봉선76,진월동, 남구 
160,2266,지원45,풍암동, 서구 
161,2290,매월61(세하),화정2동, 서구 
162,2001,유덕65,광천동, 서구 
163,2248,금남59,풍암동, 서구 
164,3218,봉선27,주월1동, 남구 
165,5186,마을720,신가동, 광산구 
166,1147,금남59,학동, 동구 
167,4436,용전85,운암2동, 북구 
168,3242,진월78,진월동, 남구 
169,2001,수완03,광천동, 서구 
170,2078,매월61(세하),상무2동, 서구 
171,5188,송정29,신가동, 광산구 
172,3228,송암31,진월동, 남구 
173,5312,마을720,월곡1동, 광산구 
174,4070,마을788,양산동, 북구 
175,2267,금남59,풍암동, 서구 
176,1155,지원152(능주역),학동, 동구 
177,5272,송정29,우산동, 북구 
178,5272,송정29,우산동, 광산구 
179,5273,송정98,우산동, 북구 
180,5273,송정98,우산동, 광산구 
181,3226,지원45,주월1동, 남구 
182,2267,진월75,풍암동, 서구 
183,4252,송정29,삼각동, 북구 
184,4560,문흥80,계림2동, 동구 
185,2232,순환01(시청행),치평동, 서구 
186,5304,일곡10,운남동, 광산구 
187,4432,봉선27,운암3동, 북구 
188,4339,매월26,신안동, 북구 
189,4236,문흥39,문흥1동, 북구 
190,4437,양산60,운암2동, 북구 
191,2354,송암73,화정4동, 서구 
192,3115,송정98,봉선2동, 남구 
193,4151,송정29,동림동, 북구 
194,3122,금남59,봉선2동, 남구 
195,5173,매월16,신창동, 광산구 
196,4411,용전184,용봉동, 북구 
197,2448,금남59,화정4동, 서구 
198,2069,518,상무1동, 서구 
199,5401,첨단09,첨단1동, 광산구 
200,4427,마을777,운암1동, 북구 
201,4334,두암81(무등파크),신안동, 북구 
202,2316,금남59,화정4동, 서구 
203,4455,금남58,운암1동, 북구 
204,4228,문흥18,문흥1동, 북구 
205,3122,일곡28,봉선2동, 남구 
