idx,target,m,s
0,4263_1,1.529411765,52
1,4264_1,1,3
2,4334_1,2.905426357,3748
3,4529_1,1.815238095,953
4,2001_1,5.998281787,10473
5,2002_1,6.294442527,18235
6,2179_1,1.541899441,276
7,1122_1,5.501512402,9094
8,1123_1,5.855923159,10974
9,2156_1,1.214285714,68
10,2184_1,1.48,37
11,2185_1,1.65625,265
12,1111_1,3.699407282,4369
13,1112_1,5.553375196,7075
14,1113_1,3.433888345,3506
15,1114_1,3.129989765,3058
16,2007_1,1.507936508,380
17,2187_1,3.44,1376
18,2055_1,1.511627907,390
19,1014_1,2.110320285,593
20,1051_1,1.406896552,204
21,2040_1,1.347826087,31
22,2041_1,1.855072464,128
23,4515_1,1.642533937,363
24,4530_1,2.979411765,1013
25,2348_1,1.295081967,79
26,2350_1,2.061452514,369
27,1015_1,2.091836735,410
28,1016_1,2.213675214,518
29,1041_1,5.682624113,3205
30,1044_1,2.974842767,1892
31,1119_1,3.740442656,1859
32,4586_1,1.157894737,44
33,4304_1,5.692307692,74
34,4305_1,4.515151515,149
35,1042_1,3.566775244,2190
36,1130_1,7.008918618,12574
37,2182_1,1.5,60
38,2183_1,2.795698925,780
39,1056_1,2.803548796,2212
40,1057_1,3.094132029,2531
41,4337_1,1.388888889,50
42,4582_1,1.425925926,77
43,1037_1,1.24137931,36
44,1038_1,1.281818182,141
45,1024_1,1.907692308,124
46,1025_1,1.68852459,103
47,2194_1,1.174242424,155
48,2050_1,3.09079118,2383
49,4495_1,1.734693878,85
50,4585_1,1.422222222,64
51,2274_1,5.79222973,3429
52,2276_1,4.965346535,5015
53,4342_1,2.036931818,2151
54,4343_1,2.446376812,2532
55,2195_1,1.71875,165
56,2199_1,1.265306122,62
57,2200_1,1,4
58,1034_1,2.201923077,229
59,1036_1,1.88,235
60,4195_1,1.421052632,27
61,4536_1,1.666666667,340
62,4532_1,1.820952381,956
63,4533_1,1.808170515,1018
64,2201_1,1.330578512,161
65,4321_1,1.827586207,53
66,2203_1,1.603636364,441
67,4329_1,1.533333333,46
68,4331_1,1.896907216,184
69,2283_1,2.25245098,1838
70,2284_1,2.810901001,2527
71,4267_1,1.375,22
72,1137_1,3.105263158,885
