idx,target,m,s
0,1187,1.684371451,38562
1,1187-1,2.769647696,3066
2,228(구151화순사평),2.126195029,21128
3,228(화순전대병원),2.336514843,66586
4,419,2.145312848,48173
5,518,1.959050188,63197
6,금남55,2.449354495,105866
7,금남57,3.862560059,179273
8,금남58,3.704110248,92462
9,금남59,2.814052165,135294
10,금호36,4.492504671,310176
11,금호46,3.61836432,209800
12,대촌170,1.609106743,19401
13,대촌270,1.265379976,3147
14,대촌69,1.525809436,8247
15,대촌70,1.970588235,33299
16,대촌71,1.294773928,2205
17,두암181,1.403317536,2961
18,두암81(각화초교),1.797367977,21306
19,두암81(무등파크),1.786313466,24276
20,마을700,3.095806873,208645
21,마을715(대촌),2.187970615,47654
22,마을720,3.989630167,220068
23,마을760,3.304158471,94076
24,마을777,4.681976575,96739
25,마을777(우치공원),2.656391659,17580
26,마을788,2.460700772,79990
27,매월06,5.463252005,254817
28,매월16,3.04161056,182962
29,매월26,4.857226485,307001
30,매월61(세하),2.189214479,44452
31,매월61(칠석),2.183099784,51567
32,문흥18,5.652295543,422283
33,문흥39,3.206822175,184357
34,문흥53,3.399806639,52748
35,문흥80,2.177309207,43679
36,봉선27,4.445456471,398753
37,봉선37,4.13929932,375956
38,봉선76,1.608803904,16154
39,상무62,1.591213532,14017
40,상무62(상무역행),1.792760075,15303
41,상무63,1.948582677,24747
42,상무64,2.465307813,53581
43,석곡87,1.948244959,26087
44,선운101,2.189191774,68664
45,선운14,3.522107055,70340
46,송암31,2.817910558,76495
47,송암47,2.883415089,164000
48,송암68,3.162049954,141663
49,송암72,3.112064317,190449
50,송암73,3.233445826,154258
51,송암74,2.891752058,143642
52,송정100,1.372269282,3078
53,송정19,2.66735377,151399
54,송정197,1.651730257,3723
55,송정29,4.209656301,308652
56,송정296,1.666125629,10265
57,송정33,2.590561331,124606
58,송정93,1.436262062,2828
59,송정96,1.476397336,5098
60,송정97,1.421124829,5180
61,송정98,3.950866393,311913
62,송정99,1.538128718,2844
63,수완03,8.817005806,499598
64,수완12,3.647558519,233586
65,수완49,2.206126408,81887
66,순환01(시청행),4.663123039,160542
67,순환01(운천저수지),4.723993817,165028
68,양산60,2.830083266,52682
69,용봉83,2.733572494,76961
70,용전184,1.578208727,18555
71,용전84,1.867680865,27623
72,용전85,2.184801382,31625
73,용전86,2.024331434,27705
74,운림35,2.810018832,111909
75,운림50,2.830723025,140435
76,운림51,4.464525503,291913
77,운림54,7.96406493,399366
78,유덕65,1.520830309,10477
79,일곡10,3.125604312,168742
80,일곡28,4.635214879,377821
81,일곡38,3.086900069,197327
82,임곡290,1.313053751,2223
83,임곡89,1.363216485,11511
84,임곡90,1.780776049,18082
85,임곡91,1.310961969,2344
86,좌석02,4.025986594,170573
87,지원15,2.81617268,131121
88,지원152(능주역),2.08800751,26691
89,지원152(도웅리),1.909508985,26989
90,지원25,3.056050955,151137
91,지원45,3.702150186,283233
92,지원52,1.495749745,8798
93,지원56,1.87099386,55460
94,진곡196,2.605923625,93967
95,진월07,8.957022809,522284
96,진월17,4.90540879,332935
97,진월177,1.618021073,13360
98,진월75,2.348681077,103551
99,진월77,1.816880331,36423
100,진월78,1.602711864,9456
101,진월79,2.569639099,50054
102,첨단09,7.041867533,403161
103,첨단192,1.576923077,3895
104,첨단193,1.459685191,4544
105,첨단20,2.729025791,171522
106,첨단22,2.794947994,101574
107,첨단23,3.553649303,148308
108,첨단30,3.49832596,234052
109,첨단40,2.044940029,66663
110,첨단92,1.670999361,7842
111,첨단94,1.498931023,13321
112,첨단95,3.727227853,226526
113,충효187,1.521656407,13596
114,마을701,1.63318005,4617
115,마을720-1,1.531502423,948
116,마을763,1.448660042,4811
117,마을799,1.727142226,15641
118,충효188,1.255813953,162
119,선운101(송산유원),2.082191781,152
120,노선없음,1,1
