idx,target,m,s
0,1187_4263,1.919254658,309
1,1187_4264,1.428571429,10
2,1187_4334,1.364963504,374
3,1187_4529,1.410169492,416
4,1187_2001,1.468421053,558
5,1187_2002,1.909698997,1142
6,1187_2179,1.286549708,220
7,1187_1122,2.35243553,1642
8,1187_1123,1.975501114,887
9,1187_2156,1.280701754,292
10,1187_2184,1.438095238,151
11,1187_2185,1.371179039,314
12,1187_1111,1.835951134,1052
13,1187_1112,1.786982249,906
14,1187_1113,1.272,318
15,1187_1114,1.704545455,825
16,1187_2007,1.068627451,109
17,1187_2187,1.383141762,361
18,1187_2055,1.470219436,469
19,1187_1014,1.794871795,840
20,1187_1051,1.517241379,264
21,1187_2040,1.353333333,203
22,1187_2041,2.046554935,1099
23,1187_4515,1.602857143,561
24,1187_4530,1.348785872,611
25,1187_2348,1.517094017,355
26,1187_2350,2.358208955,1264
27,1187_1015,1.411290323,525
28,1187_1016,1.632653061,720
29,1187_1041,1.465909091,387
30,1187_1044,1.298039216,331
31,1187_1119,1.640495868,397
32,1187_4586,1.289855072,178
33,1187_4304,3.987341772,315
34,1187_4305,3.544217687,521
35,1187_1042,1.424615385,463
36,1187_1130,2.007843137,1024
37,1187_2182,1.457831325,242
38,1187_2183,1.850485437,953
39,1187_1056,1.715767635,827
40,1187_1057,1.411504425,319
41,1187_4337,1.445714286,253
42,1187_4582,1.532352941,521
43,1187_1037,1.472972973,109
44,1187_1038,1.531914894,576
45,1187_1024,1.847938144,717
46,1187_1025,1.751243781,704
47,1187_2194,1.228395062,199
48,1187_2050,1.269430052,245
49,1187_4495,1.761437908,539
50,1187_4585,1.348242812,422
51,1187_2274,1.427046263,401
52,1187_2276,1.918968692,1042
53,1187_4342,1.578088578,677
54,1187_4343,1.317073171,324
55,1187_2195,1.659090909,438
56,1187_2199,1.110429448,181
57,1187_2200,1,11
58,1187_1034,2.313296903,1270
59,1187_1036,2.17847769,830
60,1187_4195,1.818181818,180
61,1187_4536,1.509803922,539
62,1187_4532,1.293706294,370
63,1187_4533,1.42118863,550
64,1187_2201,1.246153846,162
65,1187_4321,1.661971831,354
66,1187_2203,1.303418803,305
67,1187_4329,1.356321839,236
68,1187_4331,2.320093458,993
69,1187_2283,1.610278373,752
70,1187_2284,1.323432343,401
71,1187-1_4263,1.739130435,40
72,1187-1_4267,1.705882353,29
73,1187-1_1137,1.588235294,27
74,1187-1_1122,2.263636364,249
75,1187-1_1051,1.743589744,68
76,1187-1_1015,1.35,81
77,1187-1_1041,1.472222222,53
78,1187-1_4305,8.522012579,1355
79,1187-1_1057,1.781818182,98
80,1187-1_1037,1.8,27
81,1187-1_1038,1.394736842,53
82,1187-1_1024,1.090909091,24
83,1187-1_1025,2.395348837,206
84,1187-1_1034,1.540540541,57
85,1187-1_1036,2.628571429,276
86,1187-1_4195,1.176470588,20
87,1187-1_4321,1.615384615,42
88,1187-1_4329,1.75,42
89,1187-1_4331,1.844827586,107
90,228(구151화순사평)_1005,1.968152866,309
91,228(구151화순사평)_1006,1.512396694,183
92,228(구151화순사평)_1137,1.226190476,103
93,228(구151화순사평)_6340,2.224489796,436
94,228(구151화순사평)_1003,2.47260274,361
95,228(구151화순사평)_1004,1.980676329,410
96,228(구151화순사평)_1093,1.854304636,280
97,228(구151화순사평)_4334,1.12987013,87
98,228(구151화순사평)_2001,1.322916667,127
99,228(구151화순사평)_2002,1.384615385,72
100,228(구151화순사평)_2181,1.328358209,89
101,228(구151화순사평)_1122,1.539325843,137
102,228(구151화순사평)_1123,1.12,28
103,228(구151화순사평)_2007,1.145454545,63
104,228(구151화순사평)_2187,1.121212121,37
105,228(구151화순사평)_1139,1.526315789,174
106,228(구151화순사평)_6275,1.2,54
107,228(구151화순사평)_1083,1.605504587,175
108,228(구151화순사평)_1007,2.421383648,385
109,228(구151화순사평)_1008,1.38317757,148
110,228(구151화순사평)_1107,1.359375,87
111,228(구151화순사평)_1108,1.924855491,333
112,228(구151화순사평)_4147,1.726190476,145
113,228(구151화순사평)_4148,6.841463415,1122
114,228(구151화순사평)_6319,1.073170732,44
115,228(구151화순사평)_4144,1.705882353,174
116,228(구151화순사평)_4439,2.348148148,317
117,228(구151화순사평)_4440,1.119047619,47
118,228(구151화순사평)_6277,1.373333333,103
119,228(구151화순사평)_1156,1.790960452,317
120,228(구151화순사평)_1086,1.409090909,93
121,228(구151화순사평)_4340,1.676646707,280
122,228(구151화순사평)_4342,1.731958763,168
123,228(구151화순사평)_4343,1.275229358,139
124,228(구151화순사평)_6324,1.357142857,19
125,228(구151화순사평)_4656,4.88372093,840
126,228(구151화순사평)_1079,1.333333333,48
127,228(구151화순사평)_1080,3.418518519,923
128,228(구151화순사평)_6367,1.188679245,63
129,228(구151화순사평)_6401,1.114285714,39
130,228(구151화순사평)_6402,2.010582011,380
131,228(구151화순사평)_1146,1.685483871,209
132,228(구151화순사평)_1147,1.469798658,219
133,228(구151화순사평)_1089,1.142857143,40
134,228(구151화순사평)_1090,2.157608696,397
135,228(구151화순사평)_4532,1.175,94
136,228(구151화순사평)_1098,1.722772277,174
137,228(구151화순사평)_1099,2.025906736,391
138,228(구151화순사평)_2201,1.145833333,55
139,228(구151화순사평)_6326,1.052631579,20
140,228(구151화순사평)_6329,1.197530864,97
141,228(구151화순사평)_6330,1,18
142,228(구151화순사평)_2203,1.697674419,146
143,228(구151화순사평)_1151,1.279569892,119
144,228(구151화순사평)_6393,1.133333333,51
145,228(구151화순사평)_6394,5.931654676,1649
146,228(구151화순사평)_6331,1.153846154,30
147,228(구151화순사평)_6381,1,4
148,228(구151화순사평)_6379,1.888297872,355
149,228(구151화순사평)_6383,5.083032491,1408
150,228(구151화순사평)_6384,1.214285714,51
151,228(구151화순사평)_6385,5.738095238,1687
152,228(구151화순사평)_6386,1.259259259,68
153,228(구151화순사평)_6428,1.356643357,194
154,228(구151화순사평)_6395,2.633333333,474
155,228(화순전대병원)_1005,2.1344,1334
156,228(화순전대병원)_1006,2.060386473,853
157,228(화순전대병원)_1137,4.685236769,3364
158,228(화순전대병원)_6340,1.455128205,454
159,228(화순전대병원)_1003,2.265469062,1135
160,228(화순전대병원)_1004,2.182608696,1004
161,228(화순전대병원)_4336,1.612716763,279
162,228(화순전대병원)_1093,1.673913043,462
163,228(화순전대병원)_1094,1.20661157,146
164,228(화순전대병원)_4334,1.722627737,472
165,228(화순전대병원)_4529,1.768831169,681
166,228(화순전대병원)_2001,2.67755102,1312
167,228(화순전대병원)_2002,2.647865854,1737
168,228(화순전대병원)_2180,1.294117647,286
169,228(화순전대병원)_2181,1.225225225,136
170,228(화순전대병원)_2179,1.12371134,109
171,228(화순전대병원)_2003,2.019169329,632
172,228(화순전대병원)_2004,1.693069307,684
173,228(화순전대병원)_1122,5.789883268,4464
174,228(화순전대병원)_1123,2.093816631,982
175,228(화순전대병원)_2187,1.691699605,428
176,228(화순전대병원)_1076,1.542056075,165
177,228(화순전대병원)_1139,2.471544715,1520
178,228(화순전대병원)_1075,1.241935484,77
179,228(화순전대병원)_1082,1.140625,73
180,228(화순전대병원)_1083,1.429292929,283
181,228(화순전대병원)_1007,2.106907895,1281
182,228(화순전대병원)_1008,2.083146067,927
183,228(화순전대병원)_1107,1.384279476,317
184,228(화순전대병원)_1108,2.220385675,806
185,228(화순전대병원)_4147,1.536931818,541
186,228(화순전대병원)_4148,3.14738292,2285
187,228(화순전대병원)_4144,1.586294416,625
188,228(화순전대병원)_4145,1.548736462,429
189,228(화순전대병원)_4439,1.641114983,471
190,228(화순전대병원)_4440,1.838028169,261
191,228(화순전대병원)_1130,2.589098532,1235
192,228(화순전대병원)_1131,2.05370844,803
193,228(화순전대병원)_1155,1.885080645,935
194,228(화순전대병원)_1156,2.212121212,876
195,228(화순전대병원)_1086,2.034482759,531
196,228(화순전대병원)_1087,1.5,45
197,228(화순전대병원)_1095,1.666666667,455
198,228(화순전대병원)_1096,1.572390572,467
199,228(화순전대병원)_4340,1.597701149,278
200,228(화순전대병원)_4341,1.543554007,443
201,228(화순전대병원)_4342,2.180232558,1125
202,228(화순전대병원)_4343,1.627986348,477
203,228(화순전대병원)_1127,1.793296089,642
204,228(화순전대병원)_4656,2.893333333,1953
205,228(화순전대병원)_1079,1.228571429,86
206,228(화순전대병원)_1080,2.690298507,1442
207,228(화순전대병원)_6401,1.15,69
208,228(화순전대병원)_6402,2.415270019,1297
209,228(화순전대병원)_1146,3.005571031,2158
210,228(화순전대병원)_1147,2.173626374,989
211,228(화순전대병원)_1045,1.49034749,386
212,228(화순전대병원)_1046,1.582677165,603
213,228(화순전대병원)_4450,1.212389381,137
214,228(화순전대병원)_4509,1.337078652,119
215,228(화순전대병원)_6620,1.198473282,157
216,228(화순전대병원)_1149,1.393129771,365
217,228(화순전대병원)_1150,1.508650519,436
218,228(화순전대병원)_1090,1.694078947,515
219,228(화순전대병원)_4532,1.523584906,323
220,228(화순전대병원)_4533,1.597183099,567
221,228(화순전대병원)_1098,1.58040201,629
222,228(화순전대병원)_1099,1.748756219,703
223,228(화순전대병원)_1175,1.238095238,26
224,228(화순전대병원)_2201,1.025,82
225,228(화순전대병원)_2203,1.369047619,230
226,228(화순전대병원)_4354,1.335051546,259
227,228(화순전대병원)_4355,1.307692308,170
228,228(화순전대병원)_1151,1.398963731,270
229,228(화순전대병원)_6393,1.1,99
230,228(화순전대병원)_6394,5.953125,4191
231,228(화순전대병원)_6618,1.60371517,518
232,228(화순전대병원)_6379,1.301369863,190
233,228(화순전대병원)_6383,2.262729124,1111
234,228(화순전대병원)_6384,1.096774194,34
235,228(화순전대병원)_6385,2.914383562,1702
236,228(화순전대병원)_6386,1.126315789,107
237,228(화순전대병원)_6428,1.556016598,375
238,228(화순전대병원)_6395,5.892405063,3724
239,228(화순전대병원)_6397,1.538922156,257
240,419_1002,1.680851064,474
241,419_4250,2.156363636,593
242,419_4251,1.827338129,762
243,419_1003,1.515625,485
244,419_1004,1.747916667,839
245,419_4197,1.75782881,842
246,419_4198,2.100649351,1294
247,419_1123,2.447478992,1165
248,419_4254,1.450134771,538
249,419_1007,1.380681818,243
250,419_1008,1.498951782,715
251,419_4379,1.364016736,326
252,419_4380,1.418918919,420
253,419_1044,1.294871795,101
254,419_4542,1.557522124,528
255,419_4543,1.218085106,229
256,419_1130,3.289473684,1875
257,419_4544,1.341726619,373
258,419_4545,1.463333333,439
259,419_4381,1.75862069,459
260,419_4382,2.955828221,2409
261,419_4469,1.125,45
262,419_4252,1.718676123,727
263,419_4255,2.059055118,523
