idx,target,m,s
0,1187_1,1.652631579,5495
1,1187-1_1,2.181818182,96
2,228(구151화순사평)_1,2.149174917,3256
3,228(화순전대병원)_1,2.245771144,9028
4,419_1,2.221724524,7936
5,518_1,2.007859734,9963
6,금남55_1,2.484339877,16578
7,금남57_1,4.115844229,29276
8,금남58_1,3.852637159,14536
9,금남59_1,2.961377448,21929
10,금호36_1,4.605417563,47095
11,금호46_1,3.835229912,33029
12,대촌170_1,1.650563607,3075
13,대촌270_1,1.223376623,471
14,대촌69_1,1.599814299,1723
15,대촌70_1,1.934579439,4761
16,대촌71_1,1.309160305,343
17,두암181_1,1.445820433,467
18,두암81(각화초교)_1,1.844432605,3462
19,두암81(무등파크)_1,1.83498818,3881
20,마을700_1,3.207888017,33917
21,마을715(대촌)_1,2.332503458,8432
22,마을720_1,4.334380454,37254
23,마을760_1,3.285028791,13692
24,마을777_1,4.6317388,18300
25,마을777(우치공원)_1,2.337606838,547
26,마을788_1,2.610513973,13358
27,매월06_1,5.76053722,40318
28,매월16_1,3.019783378,27323
29,매월26_1,4.932765051,46294
30,매월61(세하)_1,2.316228748,7493
31,매월61(칠석)_1,2.305872974,8677
32,문흥18_1,6.165131113,69592
33,문흥39_1,3.347464387,29374
34,문흥53_1,3.493058477,8303
35,문흥80_1,2.304828021,7304
36,봉선27_1,4.824821683,67644
37,봉선37_1,4.356673335,60976
38,봉선76_1,1.637397347,2592
39,상무62_1,1.619186047,2228
40,상무62(상무역행)_1,1.877414562,2527
41,상무63_1,2.043670265,4165
42,상무64_1,2.521354934,8560
43,석곡87_1,2.045269353,4518
44,선운101_1,2.326770894,12055
45,선운14_1,3.773650794,11887
46,송암31_1,2.95200384,12301
47,송암47_1,2.994913193,27083
48,송암68_1,3.262265209,23273
49,송암72_1,3.290407893,32348
50,송암73_1,3.426180837,25388
51,송암74_1,2.974143504,23005
52,송정100_1,1.310810811,485
53,송정19_1,2.755837679,24312
54,송정197_1,1.712290503,613
55,송정29_1,4.350407657,49090
56,송정296_1,1.70256917,1723
57,송정33_1,2.644293478,19462
58,송정93_1,1.425595238,479
59,송정96_1,1.531772575,916
60,송정97_1,1.426386233,746
61,송정98_1,4.121660739,49835
62,송정99_1,1.706896552,594
63,수완03_1,9.440378622,81782
64,수완12_1,3.779971791,37520
65,수완49_1,2.296834902,13425
