정류장아이디,정류장 명칭,정류장 유형,중앙차로 여부,노드영문명,위도,경도,수집일시,단축아이디,도시코드,도시명
KJB406,봉선라인광장,,,Bongseon Line Gwangjang Apt.,35.12785833,126.9103444,2021-09-16 5:01,3111,24,광주광역시
KJB407,봉선라인광장,,,Bongseon Line Gwangjang Apt.,35.12790833,126.9100778,2021-09-16 5:01,3110,24,광주광역시
KJB408,두암라인동산아파트,,,Duam Line Dongsan Apt.,35.17166111,126.9353889,2021-09-16 5:01,4185,24,광주광역시
KJB409,두암라인동산아파트,,,Duam Line Dongsan Apt.,35.17156944,126.9356333,2021-09-16 5:01,4172,24,광주광역시
KJB410,문흥라인동산아파트,,,Munheung Line Dongsan Apt.,35.18895278,126.9257833,2021-09-16 5:01,4234,24,광주광역시
KJB411,문흥라인동산아파트,,,Munheung Line Dongsan Apt.,35.18940278,126.9259583,2021-09-16 5:01,4235,24,광주광역시
KJB414,첨단초교,,,Cheomdan Elementary School,35.21884722,126.8372222,2021-09-16 5:01,5420,24,광주광역시
KJB416,첨단2동행정복지센터,,,Cheomdan 2(i)-dong Administration Welfare Center,35.21510556,126.8426444,2021-09-16 5:01,5445,24,광주광역시
KJB417,첨단사거리,,,Cheomdan Sageori,35.21785833,126.8408444,2021-09-16 5:01,5454,24,광주광역시
KJB418,첨단도서관,,,Cheomdan Library,35.21716944,126.8315167,2021-09-16 5:01,5415,24,광주광역시
KJB419,어룡초교,,,Eoryong Elementary School,35.15579444,126.7922722,2021-09-16 5:01,5259,24,광주광역시
KJB420,어룡초교,,,Eoryong Elementary School,35.15617222,126.7923806,2021-09-16 5:01,5258,24,광주광역시
KJB421,신동사거리,,,Sindong Sageori,35.133854,126.789155,2021-09-16 5:01,5165,24,광주광역시
KJB422,라인효친,,,Line Hyochin Apt.,35.12765278,126.9179444,2021-09-16 5:01,3119,24,광주광역시
KJB425,럭키아파트,,,Lucky Apt.,35.13788889,126.8746639,2021-09-16 5:01,2313,24,광주광역시
KJB426,럭키아파트,,,Lucky Apt.,35.13796389,126.8746806,2021-09-16 5:01,2314,24,광주광역시
KJB427,첨단롯데마트,,,Cheomdan Lotte Mart,35.21663333,126.8526778,2021-09-16 5:01,5451,24,광주광역시
KJB428,첨단롯데마트,,,Cheomdan Lotte Mart,35.21666111,126.8528972,2021-09-16 5:01,5450,24,광주광역시
KJB430,롯데백화점,,,Lotte Department Store,35.15438611,126.9109556,2021-09-16 5:01,1119,24,광주광역시
KJB431,롯데백화점,,,Lotte Department Store,35.15431111,126.9105583,2021-09-16 5:01,4520,24,광주광역시
KJB432,폭스존,,,Fox Zone,35.22096389,126.8527306,2021-09-16 5:01,5424,24,광주광역시
KJB433,폭스존,,,Fox Zone,35.22012778,126.8529278,2021-09-16 5:01,4124,24,광주광역시
KJB434,정부광주지방합동청사입구,,,Gwangju Regional Government Complex Entrance,35.22177778,126.8491222,2021-09-16 5:01,4125,24,광주광역시
KJB436,롯데칠성,,,Lotte Chilsung Beverage,35.19896389,126.8759833,2021-09-16 5:01,4031,24,광주광역시
KJB437,롯데칠성,,,Lotte Chilsung Beverage,35.19884167,126.875825,2021-09-16 5:01,4030,24,광주광역시
KJB438,마당고개,,,Madang Pass,35.19090833,126.877275,2021-09-16 5:01,4452,24,광주광역시
KJB439,마령,,,Maryeong,35.20257222,126.6651333,2021-09-16 5:01,6224,24,광주광역시
KJB440,김대중컨벤션센터(마륵)역,,,Kimdaejung Convention Center (Mareuk) Station,35.14252222,126.8403417,2021-09-16 5:01,2132,24,광주광역시
KJB441,장성마산,,,Jangseong Masan,35.26311111,126.791125,2021-09-16 5:01,6215,24,광주광역시
KJB450,화정무등파크,,,Hwajeong Mudeung Park Apt.,35.15737778,126.8787611,2021-09-16 5:01,2281,24,광주광역시
KJB461,정부광주지방합동청사입구,,,Gwangju Regional Government Complex Entrance,35.22189167,126.8489694,2021-09-16 5:01,5425,24,광주광역시
KJB468,수동,,,Sudong,35.01675,126.9527111,2021-09-16 5:01,6296,24,광주광역시
KJB470,말바우시장(남),,,Malbawoo market(South),35.17054444,126.9216417,2021-09-16 5:01,4425,24,광주광역시
KJB471,말바우시장(동),,,Malbau Market (East),35.17242778,126.9244556,2021-09-16 5:01,4164,24,광주광역시
KJB472,말바우시장(동),,,Malbau Market (East),35.17238611,126.9247083,2021-09-16 5:01,4165,24,광주광역시
KJB473,말바우시장(서),,,Malbau Market (West),35.17151944,126.9211361,2021-09-16 5:01,4416,24,광주광역시
KJB474,말바우시장(서),,,Malbau Market (West),35.17152778,126.9214278,2021-09-16 5:01,4417,24,광주광역시
KJB475,석곡동행정복지센터,,,Seokgok-dong Administration Welfare Center,35.21279722,126.9485917,2021-09-16 5:01,4287,24,광주광역시
KJB476,석곡동행정복지센터,,,Seokgok-dong Administration Welfare Center,35.21278889,126.9484028,2021-09-16 5:01,4288,24,광주광역시
KJB477,전남공무원교육원,,,Jeonnam Officials Training Institute,35.19395,126.8914472,2021-09-16 5:01,4210,24,광주광역시
KJB478,매곡삼익아파트,,,Maegok Samik Apt.,35.18824444,126.8942778,2021-09-16 5:01,4205,24,광주광역시
KJB479,매화동(장성),,,Maehwadong(Jangseong),35.2669,126.8273611,2021-09-16 5:01,6250,24,광주광역시
KJB480,맥동,,,Maekddong,35.20278056,126.7538528,2021-09-16 5:01,5043,24,광주광역시
KJB481,가마,,,Gama,35.17117778,126.7027583,2021-09-16 5:01,5032,24,광주광역시
KJB482,산수2동행정복지센터,,,Sansu 2(i)-dong Adminstration Welfare Center,35.15383056,126.9364722,2021-09-16 5:01,1031,24,광주광역시
KJB483,명지맨션,,,Myeongji Mansion Apt.,35.13911667,126.892625,2021-09-16 5:01,3180,24,광주광역시
KJB484,명지맨션,,,Myeongji Mansion Apt.,35.1398,126.8919306,2021-09-16 5:01,3181,24,광주광역시
KJB485,모아제일아파트,,,Moa Jeil Apt.,35.158405,126.861516,2021-09-16 5:01,2064,24,광주광역시
KJB486,라인효친,,,Line Hyochin Apt.,35.12752222,126.9175,2021-09-16 5:01,3118,24,광주광역시
KJB487,모아2차아파트,,,Moa 2nd Apt.,35.12798889,126.9141139,2021-09-16 5:01,3107,24,광주광역시
KJB488,모아2차아파트,,,Moa 2nd Apt.,35.12805833,126.9140917,2021-09-16 5:01,3106,24,광주광역시
KJB491,송정모아아파트,,,Songjeong Moa Apt.,35.141075,126.802,2021-09-16 5:01,5151,24,광주광역시
KJB492,송정모아아파트,,,Songjeong Moa Apt.,35.14116667,126.8019306,2021-09-16 5:01,5150,24,광주광역시
KJB493,문흥라인아파트,,,Munheung Line Apt.,35.18621667,126.923525,2021-09-16 5:01,4237,24,광주광역시
KJB494,모아제일아파트,,,Moa Jeil Apt.,35.158269,126.861353,2021-09-16 5:01,2065,24,광주광역시
KJB495,버들마을,,,Beodeul Village,35.16183056,126.8627167,2021-09-16 5:01,2192,24,광주광역시
KJB496,상무호반3차,,,Sangmu Hoban 3rd Apt.,35.15943056,126.8630056,2021-09-16 5:01,2068,24,광주광역시
KJB497,광산구노인복지회관,,,Gwangsan-gu Senior Welfare Center,35.17170556,126.8154667,2021-09-16 5:01,5289,24,광주광역시
KJB498,광산구노인복지회관,,,Gwangsan-gu Senior Welfare Center,35.17185556,126.8151833,2021-09-16 5:01,5290,24,광주광역시
KJB499,광주기아챔피언스필드,,,Gwangju-Kia Champions Field,35.168626,126.890232,2021-09-16 5:01,4490,24,광주광역시
