동명, 소재지 , 인구 수 ,,,,,,,,,,,,,
충 장 동, 동구 ," 4,704 ",,,,,,,,,,,,,
동 명 동, 동구 ," 4,059 ",,,,,,,,,,,,,
계림1동, 동구 ," 11,094 ",,,,,,,,,,,,,
계림2동, 동구 ," 9,842 ",,,,,,,,,,,,,
산수1동, 동구 ," 8,661 ",,,,,,,,,,,,,
산수2동, 동구 ," 10,556 ",,,,,,,,,,,,,
지산1동, 동구 ," 4,581 ",,,,,,,,,,,,,
지산2동, 동구 ," 4,814 ",,,,,,,,,,,,,
서 남 동, 동구 ," 3,392 ",,,,,,,,,,,,,
학     동, 동구 ," 7,762 ",,,,,,,,,,,,,
학 운 동, 동구 ," 11,536 ",,,,,,,,,,,,,
지원1동, 동구 ," 7,870 ",,,,,,,,,,,,,
지원2동, 동구 ," 16,206 ",,,,,,,,,,,,,
양     동, 서구 ," 3,713 ",,,,,,,,,,,,,
양  3 동, 서구 ," 4,609 ",,,,,,,,,,,,,
농성 1동, 서구 ," 11,087 ",,,,,,,,,,,,,
농성 2동, 서구 ," 4,926 ",,,,,,,,,,,,,
광 천 동, 서구 ," 8,134 ",,,,,,,,,,,,,
유 덕 동, 서구 ," 11,102 ",,,,,,,,,,,,,
치 평 동, 서구 ," 30,457 ",,,,,,,,,,,,,
상무 1동, 서구 ," 25,015 ",,,,,,,,,,,,,
상무 2동, 서구 ," 24,030 ",,,,,,,,,,,,,
화정 1동, 서구 ," 15,619 ",,,,,,,,,,,,,
화정 2동, 서구 ," 20,643 ",,,,,,,,,,,,,
화정 3동, 서구 ," 10,104 ",,,,,,,,,,,,,
화정 4동, 서구 ," 15,477 ",,,,,,,,,,,,,
서 창 동, 서구 ," 5,860 ",,,,,,,,,,,,,
금호 1동, 서구 ," 20,103 ",,,,,,,,,,,,,
금호 2동, 서구 ," 28,619 ",,,,,,,,,,,,,
풍 암 동, 서구 ," 37,007 ",,,,,,,,,,,,,
동 천 동, 서구 ," 16,332 ",,,,,,,,,,,,,
양 림 동, 남구 ," 7,043 ",,,,,,,,,,,,,
방림 1동, 남구 ," 6,688 ",,,,,,,,,,,,,
방림 2동, 남구 ," 8,943 ",,,,,,,,,,,,,
봉선 1동, 남구 ," 13,577 ",,,,,,,,,,,,,
봉선 2동, 남구 ," 28,872 ",,,,,,,,,,,,,
사 직 동, 남구 ," 5,269 ",,,,,,,,,,,,,
월 산 동, 남구 ," 8,879 ",,,,,,,,,,,,,
월산 4동, 남구 ," 8,568 ",,,,,,,,,,,,,
월산 5동, 남구 ," 6,450 ",,,,,,,,,,,,,
백운 1동, 남구 ," 12,236 ",,,,,,,,,,,,,
백운 2동, 남구 ," 6,403 ",,,,,,,,,,,,,
주월 1동, 남구 ," 22,039 ",,,,,,,,,,,,,
주월 2동, 남구 ," 8,060 ",,,,,,,,,,,,,
진 월 동, 남구 ," 29,708 ",,,,,,,,,,,,,
