瘤痢,瘤痢疙,老矫,扁柯(∑C),碍荐樊(mm),浅加(m/s),嚼档(%)
156,堡林,2022-03-01 00:00,9.1,,.7,71
156,堡林,2022-03-01 01:00,8.6,,0,67
156,堡林,2022-03-01 02:00,8.3,,0,65
156,堡林,2022-03-01 03:00,8.8,,1.2,60
156,堡林,2022-03-01 04:00,6.4,,.2,97
156,堡林,2022-03-01 05:00,6.5,,.3,99
156,堡林,2022-03-01 06:00,6.9,2.3,.6,99
156,堡林,2022-03-01 07:00,6.4,,.6,99
156,堡林,2022-03-01 08:00,6.2,,0,99
156,堡林,2022-03-01 09:00,7,.6,0,99
156,堡林,2022-03-01 10:00,7.6,,0,99
156,堡林,2022-03-01 11:00,9.1,,.1,99
156,堡林,2022-03-01 12:00,10.9,,.7,99
156,堡林,2022-03-01 13:00,12.8,,1.1,83
156,堡林,2022-03-01 14:00,12.1,,2.6,75
156,堡林,2022-03-01 15:00,10.8,,1.5,79
156,堡林,2022-03-01 16:00,10.1,,2.1,78
156,堡林,2022-03-01 17:00,8.1,,1.5,78
156,堡林,2022-03-01 18:00,6.2,,2,86
156,堡林,2022-03-01 19:00,5,,1.4,88
156,堡林,2022-03-01 20:00,4.5,,1.3,88
156,堡林,2022-03-01 21:00,3.8,,1.2,86
156,堡林,2022-03-01 22:00,3.2,,1.3,85
156,堡林,2022-03-01 23:00,2.9,,1.4,84
156,堡林,2022-03-02 00:00,2.5,,1.7,74
156,堡林,2022-03-02 01:00,2.1,,.9,73
156,堡林,2022-03-02 02:00,1.6,,1.3,74
156,堡林,2022-03-02 03:00,1.3,,.9,71
156,堡林,2022-03-02 04:00,.9,,.8,71
156,堡林,2022-03-02 05:00,.4,,.7,70
156,堡林,2022-03-02 06:00,0,,0,70
156,堡林,2022-03-02 07:00,0,,0,73
156,堡林,2022-03-02 08:00,.4,,0,70
156,堡林,2022-03-02 09:00,2.4,,.6,57
156,堡林,2022-03-02 10:00,4.6,,1.6,51
156,堡林,2022-03-02 11:00,6,,1.6,41
156,堡林,2022-03-02 12:00,7,,1.9,40
156,堡林,2022-03-02 13:00,8.4,,1.8,35
156,堡林,2022-03-02 14:00,8.9,,2.3,32
