,BUSSTOP_ID,BUSSTOP_NAME,NAME_E,LONGITUDE,LATITUDE,ARS_ID,NEXT_BUSSTOP
0,2513,동원촌,Dongwonchon,126.82839444,35.221225,5396,비아동주민센터(앞)
1,2534,첨단1동행정복지센터,Cheomdan 1(il)-dong Administration Welfare Center,126.84211,35.218626,5409,광주교통방송/광주디자인센터
2,196,남계(장성),Namgye (Jangseong),126.82940556,35.26986667,6245,매화동(장성)
3,3447,싸이클경기장,Cycle Stadium,126.71840833,35.04589722,6063,정렬사사거리
4,3026,산수무등파크,Sansu Mudeung Park Apt.,126.9399001,35.156992,1037,신양파크호텔
5,3400,구야촌,Guyachon,126.82324003,35.13846577,5204,신광
6,3498,노동,Nodong,126.746551,35.175755,5222,박호1리
7,2217,월성,Wolseong,126.8024,35.06936944,3048,학촌
8,1666,평동초교,Pyeongdong Elementary School,126.75603305,35.12602862,5490,옥동
9,2778,북성중,Buksung Middle School,126.90171561,35.15855774,4493,광주일고
10,3897,송화마을3단지,Songhwa Village Apt. Complex 3,126.90459967,35.11042154,3278,진월저수지(동)
11,71,동원촌,Dongwonchon,126.82835,35.22115,5397,신동아아파트
12,808,송정공원역,Songjeong Park Station,126.79965699,35.14372061,5254,영광통
13,2272,북초교,Buk Elemetary School,126.914834,35.244393,4035,효령노인복지타운
14,2736,첨단대우아파트,Cheomdan Daewoo Apt.,126.831417,35.220006,5413,첨단도서관
15,366,동부소방서,Dongbu Fire Station,126.91333831,35.15523084,1118,대인광장(서)
16,2760,기독병원,Christian Hospital,126.91392222,35.13689444,3172,학강초교
17,2955,풍암사거리(동),Pungam Sageori (East),126.86138927,35.1224794,2260,공구단지
18,3853,효령동,Hyoyeong-dong,126.91648333,35.2424519,4604,영락공원2단지
19,3093,광산소방서입구,Gwangsan Fire Station Entrance,126.79499,35.185215,5573,정우화학
20,668,사평초교,Sapyeong Elementary School,127.09331667,35.00778889,6283,사평중
21,1620,삼암,Samam,126.6791901,35.162644,5613,삼도삼거리
22,532,문화중,Munhwa Middle School,126.92363889,35.17759722,4418,현대아파트
23,3094,세방전지,Global Battery Co. Ltd,126.79510278,35.188375,5525,백제화학
24,257,신덕마을,Sindeok Village,126.786499,35.134893,5162,신동사거리
25,1996,노대,Nodae,126.90505278,35.09906389,3234,빛고을노인건강타운
26,3464,농업기술원,Agricultural Research and Extension Services,126.82975,35.02319722,6039,매화(신흥)
27,1884,단지삼거리,Danji Samgeori,126.925496,35.248936,4019,단지마을
28,2168,대산,Daesan  ,126.68146725,35.12879118,5630,신광(삼도)
29,390,대인광장(북),Daein Plaza (North),126.91176389,35.15704167,4517,롯데백화점(북)
30,2197,대촌한일베라체,Daechon Hanil Verace Apt.,126.83116077,35.08221172,3012,개동
31,2332,도래,Dorae,126.820986,34.997661,6028,다도초교
32,2166,도야,Doya,126.68921111,35.12569722,5653,회룡(광산)
33,347,동강대후문,Dongkang College Back Gate,126.92485278,35.17044722,4162,말바우시장(서)
34,360,동림삼익아파트,Dongnim Samik Apt.,126.86430278,35.17731389,4589,
35,2360,동명고,Dongmyoung High School,126.7391863,35.15504605,5225,서봉마을
36,370,동산아파트,Dongsan Apt.,126.93663333,35.15146389,1058,동산초교옆
37,3395,동촌,Dongchon,126.68653333,35.12714722,5134,신광(삼도)
38,3312,두동,Dudong,126.76178889,35.21550556,5331,용동(임곡)
39,395,두암초교,Duam Elementary School,126.93253611,35.16931667,4190,덕산아파트
40,1718,마산(서창),Masan (Seochang),126.83115278,35.12758056,2105,동하
41,142,그린파크,Green Park Apt.,126.89532566,35.15598713,2035,서림초교입구
42,4157,앵남2구,Aengnam District 2,126.905647,35.048113,6602,앵남역
43,3192,국립아시아문화전당(구.도청),Asia Culture Center,126.91785,35.148679,1123,금남로4가역
44,29,계수,Gyesu,126.85778056,35.16266111,2174,시청
45,124,구룡(본량),Guryong (Bollyang),126.68691111,35.20683056,5033,동림마을
46,188,5.18자유공원,May 18th Liberty Park,126.841176,35.1481301,2210,김대중컨벤션센터
47,252,건국동행정복지센터,Geonguk-dong Welfare Center,126.88088728,35.22226093,4005,호남권역재활병원
48,1049,운남삼성아파트,Unnam Samsung Apt.,126.81718889,35.17422778,5306,광산구노인복지회관
49,3467,수북사거리,Subuk 4-Way Junc,126.930313,35.302083,6175,수북면사무소
50,1295,쌍촌시영아파트,Ssangchon Siyeong Apt.,126.86866111,35.14496111,2085,서광주우체국
51,2321,광주어망,Kwangju Fishing Net,126.83700278,35.03487222,6006,광남고
52,1852,나산리,Nasanli,126.93501111,35.29386111,6167,대흥리
53,4158,앵남2구,Aengnam District 2,126.905535,35.048077,6603,화남마을
54,3158,강의리,Gangui-li,126.90295268,35.26608173,6109,갈전
55,96,4.19기념관,April 19th Memorial Hall,126.91763889,35.16208889,1006,순복음교회
56,107,광천초교,Gwangcheon Elementary School,126.889058,35.158998,2034,현대자동차
57,155,금남로5가역,Geumnamno 5(o)-ga Station,126.911605,35.152818,1113,광주일고
58,215,광암교입구,Gwangamgyo Bridge Entrance,126.876691,35.1714401,4437,동림동천마을6단지
59,277,대광여고,Daegwang Girls' High School,126.89747173,35.12684766,3210,진월대주아파트
60,1694,나주금성고,Naju Geumseong High School,126.71594444,35.03906667,6051,정렬사사거리
61,2032,남면보건지소,Nammyeon Branch Community Health Center,126.803325,35.23752778,6195,승가입구
62,226,내남,Naenam,126.93131667,35.08901944,1078,법림사
63,1997,녹서,Nokseo,126.665292,35.200536,6223,화산(장성)
64,2703,농협공판장,Nonghyup Joint Market,126.89968611,35.15236111,3191,닭전머리
65,1834,담양월곡,Damyang Wolgok,126.95512222,35.23808056,6077,원유동
66,1660,대산삼거리,Daesan Samgeori,126.68011725,35.12873478,5125,송학교회앞
67,296,대인광장(서),Daein Plaza (West),126.91142059,35.15596052,4518,동부소방서
68,2262,대치,Daechi,126.88731667,35.27651111,6112,대전파출소(서)
69,2723,도림,Dorim,126.70096389,35.16655,5130,삼도초교
70,343,도현,Dohyeon,126.79581944,35.21284167,5510,하남철강
71,2959,동광주진입로,East Gwangju IC Access Road,126.9313568,35.18274575,4221,농산물공판장
72,2008,동림마을,Dongnim Village,126.68904722,35.20970833,0   ,동림마을
73,3274,김대중컨벤션센터,Kimdaejung Convention Center,126.83907404,35.14705788,2212,5.18자유공원
74,1699,나주농협송현지점,Naju Nonghyup Songhyun Branch,126.72296389,35.050625,6053,나주북초교
75,208,남동,Nam-dong,126.68214444,35.17956111,5035,용호(광산구)
76,218,신흥목재포장,Sinheung Wood Package,126.80959722,35.21638333,5502,도천교
77,397,율곡초교,Yulgok Elementary School,126.93513056,35.16101944,4193,호남맨션
78,908,전남대공과대학,Chonnam National University of Technology,126.91222548,35.17841067,4410,성산맨션
79,3901,망향동산길,Manghyangdongsan Road,126.93132864,35.20999042,4266,변전소
80,744,서광주한전,Seogwangju KEPCO,126.89281111,35.150875,2058,돌고개역(동)
81,1739,남선산업,Namsun Industry,126.88488056,35.10765833,3150,송하삼익아파트
82,2172,용강입구,Yonggang Entrance,126.73737357,35.1245076,5476,축산시험장
83,1703,노안남초교,Noan nam Elementary School,126.75186389,35.06637222,6020,쌈지공원
84,751,서구청,Seo-gu Office,126.888923,35.151892,2059,서광주한전
85,3776,옥동차량기지,Ok-dong Garage,126.75961993,35.12094738,5695,평동파출소
86,1401,평동우체국,Pyeong-dong Post Office,126.76125,35.12453056,5488,평동역(동)
87,2177,평동우체국,Pyeong-dong Post Office,126.76148611,35.12457691,5489,옥동
88,1288,중흥시장,Jungheung Market,126.9102273,35.16072865,4537,대인광장(북)
89,98,광주학생운동기념탑,Monument for Gwangju Student Movement,126.90917222,35.15280146,1110,롯데백화점
90,2037,서태마을입구,Setaemaeul Entrance,126.82151389,35.23721111,6202,서태
91,323,중앙교회,Jungang Church,126.83018611,35.27383333,6261,남계(장성)
92,1406,평촌,Pyeongchon,126.83865278,35.2653,6270,진원면사무소
93,649,남면보건지소,Nammyeon Branch Community Health Center,126.80331667,35.23746667,6196,분향
94,316,광주시립미술관하정웅미술관,Gwangju Museum of Art and Ha Jung-woong Museum of Art,126.8884048,35.15374342,2049,담배인삼공사
95,1457,일동초교,Ildong Elementary School,126.89414971,35.2068883,4485,일동중
96,378,동신대한방병원,Dongshin University Oriental Hospital,126.896205,35.150164,3196,월산초교
97,806,광천E편한세상,Gwangcheon e-Pyeonhan Sesang Apt.,126.8761,35.16578611,2180,기아차정문
98,3766,광주지방경찰청,Gwangju Metropolitan Police Agency,126.79898973,35.15390862,5694,소촌라인2차아파트
99,3815,수완중흥S-클래스 2차,Suwan Jungheung S-Class 2nd Apt.,126.813456,35.183122,5709,흑석사거리(동)
100,3849,산정초교,Sanjeong Elementary School,126.80142883,35.1726753,5715,하남도시공사아파트
101,2182,서창동주민센터,Seochang-dong Community Service Center,126.829717,35.1143901,2128,동하
102,1764,서창치안센터,Seochang Police Patrol & Services Center,126.820966,35.107397,2136,용두입구
103,3293,석교삼거리,Seokgyo Samgeori,126.8147248,35.09339882,3028,구룡(대촌)
104,3165,선평선창마을입구,Seonpyeong Seonchangmaeul Entrance,126.778316,35.246215,6203,장성백운
105,1696,천주교사거리,126.71653056,35.03578056,6061,나주경찰서,
106,3088,세방전지,Global Battery Co. Ltd,126.79491944,35.18835,5524,정우화학
107,3768,소촌남계길,Sochon Namgye-gil,126.80492203,35.15177514,5690,소촌라인2차아파트
108,511,소태역,Sotae Station,126.93203362,35.12393113,1095,지원2동주민센터
109,800,솔뫼타운,Solmeo Town Apt.,126.87158889,35.15757222,2273,해태아파트
110,802,송림주택,Songnim Jutaek Apt. ,126.91814521,35.13103202,3088,방림삼거리
111,1635,대봉,Daebong,126.6608022,35.14241344,5599,상무자동차학원
112,1522,화순군선거관리위원회,Hwasun-gun Election Commission,126.98000556,35.063325,6381,화순공공도서관입구
113,1691,성북아파트,Naju Police Station,126.72059309,35.035831,6049,천주교사거리
114,1416,풍암저수지,Pungam Reservoir,126.8696067,35.12587402,2265,마재우체국
115,608,본량초교,Bollyang Elementary School,126.72300278,35.17925278,5050,황산
116,2085,종산제입구,Jongsanje Entrance,126.74006667,35.24460278,5387,종산
117,2253,고성리,Goseong-li,126.92376667,35.29493333,6160,수북면사무소
118,382,동암,Dongam,127.05050278,35.02916667,6313,천동(화순)
119,254,농장다리,Nongjangdari Overpass,126.92692778,35.15114722,1051,법원입구
120,1450,계수초교,Gyesu Elementary School,126.845536,35.155079,2230,상무대우아파트
121,830,수창초교후문,Soochang Elementary School Back Gate,126.90888458,35.15699824,4523,유동사거리
122,1116,월정,Woljeong ,126.86383208,35.24446667,6256,초동
123,1396,풍암정,Pungamjeong Pavilion,126.98715038,35.16021082,4329,충장사(남)
124,2181,동하,Dongha,126.83296667,35.12163611,2103,마산(서창)
125,76,자연과학고,Natural Science High School,126.9141228,35.18701256,4367,용봉중
126,1581,중소기업진흥공단호남연수원,SBC Honam Training Institute,126.93545488,35.20246536,4313,용호(북구)
127,639,서림초교입구,Seorim Elementary School Entrance,126.900038,35.160597,4585,그린파크
128,19,건강협회(남),Association of Health Promotion (South),126.888924,35.147873,2321,화정주공
129,3652,광주농수산물유통센터(북),Agricultural Products Distribution Center (North),126.820281,35.185051,5742,수완모아엘가
130,3794,고령친화종합체험관,Senior Technology Complex,126.89512878,35.09730155,3264,덕남
131,3355,노동,Nodong,126.7466901,35.175739,5223,외등
132,1866,대치,Daechi,126.88727778,35.27655833,6111,종점
133,352,동구청,Dong-gu Office,126.92178889,35.14741111,1044,전남대병원오거리
134,1659,대산,Daesan  ,126.6814817,35.12888856,5124,대산삼거리
135,3896,도천저수지,Docheon Reservoir,126.82774014,35.21174012,5765,응암공원
136,3903,닭뫼,Dakmoe,127.00792586,35.1821165,4477,소쇄원
137,2718,덕흥삼거리,Deokheung Samgeori,126.83816135,35.16740169,2350,화니미지로
